排名,球员,球队,场次,时间,助攻,球员链接,球队链接,赛季
,球员,球队,,,,,,2024-25
1,尼古拉-约基奇,掘金,10.9,3.38,3.22,https://nba.hupu.com/players/nikolajokic-4943.html,https://nba.hupu.com/teams/nuggets,2024-25
2,凯德-坎宁安,活塞,9.1,3.77,2.41,https://nba.hupu.com/players/cadecunningham-152593.html,https://nba.hupu.com/teams/pistons,2024-25
3,约什-吉迪,公牛,9.0,3.64,2.47,https://nba.hupu.com/players/joshgiddey-152646.html,https://nba.hupu.com/teams/bulls,2024-25
3,卢卡-东契奇,湖人,9.0,4.28,2.1,https://nba.hupu.com/players/lukadoncic-150648.html,https://nba.hupu.com/teams/lakers,2024-25
5,詹姆斯-哈登,快船,8.2,3.96,2.07,https://nba.hupu.com/players/jamesharden-3306.html,https://nba.hupu.com/teams/clippers,2024-25
6,杰伦-约翰逊,老鹰,8.0,3.39,2.36,https://nba.hupu.com/players/jalenjohnson-152583.html,https://nba.hupu.com/teams/hawks,2024-25
7,戴维恩-米切尔,热火,7.8,1.42,5.49,https://nba.hupu.com/players/davionmitchell-152640.html,https://nba.hupu.com/teams/heat,2024-25
8,拉塞尔-威斯布鲁克,国王,7.2,3.28,2.2,https://nba.hupu.com/players/russellwestbrook-3016.html,https://nba.hupu.com/teams/kings,2024-25
8,泰雷斯-马克西,76人,7.2,2.7,2.67,https://nba.hupu.com/players/tyresemaxey-152368.html,https://nba.hupu.com/teams/76ers,2024-25
10,阿尔佩伦-申京,火箭,7.0,3.35,2.09,https://nba.hupu.com/players/alperensengun-152602.html,https://nba.hupu.com/teams/rockets,2024-25
11,贾马尔-默里,掘金,6.9,2.3,3.0,https://nba.hupu.com/players/jamalmurray-150167.html,https://nba.hupu.com/teams/nuggets,2024-25
12,基扬特·乔治,爵士,6.8,3.54,1.92,https://nba.hupu.com/players/keyontegeorge-152989.html,https://nba.hupu.com/teams/jazz,2024-25
13,奥斯汀-里夫斯,湖人,6.7,3.33,2.01,https://nba.hupu.com/players/austinreaves-152614.html,https://nba.hupu.com/teams/lakers,2024-25
13,德文-布克,太阳,6.7,3.68,1.82,https://nba.hupu.com/players/devinbooker-150044.html,https://nba.hupu.com/teams/suns,2024-25
15,谢伊-吉尔杰斯-亚历山大,雷霆,6.5,1.79,3.63,https://nba.hupu.com/players/shaigilgeousalexander-150959.html,https://nba.hupu.com/teams/thunder,2024-25
16,杰伦-布伦森,尼克斯,6.3,2.32,2.72,https://nba.hupu.com/players/jalenbrunson-150988.html,https://nba.hupu.com/teams/knicks,2024-25
17,德尼-阿夫迪亚,开拓者,6.2,3.56,1.74,https://nba.hupu.com/players/deniavdija-152356.html,https://nba.hupu.com/teams/blazers,2024-25
17,伊曼纽尔-奎克利,猛龙,6.2,1.76,3.52,https://nba.hupu.com/players/immanuelquickley-152390.html,https://nba.hupu.com/teams/raptors,2024-25
19,朱利叶斯-兰德尔,森林狼,6.0,2.72,2.21,https://nba.hupu.com/players/juliusrandle-4932.html,https://nba.hupu.com/teams/timberwolves,2024-25
19,丹尼斯-施罗德,国王,6.0,1.94,3.09,https://nba.hupu.com/players/dennisschroder-4776.html,https://nba.hupu.com/teams/kings,2024-25
19,莱恩-罗林斯,雄鹿,6.0,2.65,2.26,https://nba.hupu.com/players/ryanrollins-152866.html,https://nba.hupu.com/teams/bucks,2024-25
22,戴森-丹尼尔斯,老鹰,5.7,2.35,2.43,https://nba.hupu.com/players/dysondaniels-152879.html,https://nba.hupu.com/teams/hawks,2024-25
23,德雷蒙德-格林,勇士,5.5,3.0,1.83,https://nba.hupu.com/players/draymondgreen-3672.html,https://nba.hupu.com/teams/warriors,2024-25
24,多诺万-米切尔,骑士,5.4,3.38,1.6,https://nba.hupu.com/players/donovanmitchell-150510.html,https://nba.hupu.com/teams/cavaliers,2024-25
25,斯科蒂-巴恩斯,猛龙,5.3,2.42,2.19,https://nba.hupu.com/players/scottiebarnes-152653.html,https://nba.hupu.com/teams/raptors,2024-25
26,阿门·汤普森,火箭,5.2,2.59,2.01,https://nba.hupu.com/players/amenthompson-152975.html,https://nba.hupu.com/teams/rockets,2024-25
26,德里克-怀特,凯尔特人,5.2,1.83,2.84,https://nba.hupu.com/players/derrickwhite-150480.html,https://nba.hupu.com/teams/celtics,2024-25
26,贾马尔·谢德,猛龙,5.2,1.15,4.52,https://nba.hupu.com/players/jamalshead-153166.html,https://nba.hupu.com/teams/raptors,2024-25
29,文斯-威廉姆斯,灰熊,5.1,2.25,2.27,https://nba.hupu.com/players/vincewilliams-152877.html,https://nba.hupu.com/teams/grizzlies,2024-25
30,约什-哈特,尼克斯,5.0,2.04,2.45,https://nba.hupu.com/players/joshhart-150488.html,https://nba.hupu.com/teams/knicks,2024-25
30,吉米-巴特勒,勇士,5.0,1.36,3.68,https://nba.hupu.com/players/jimmybutler-3583.html,https://nba.hupu.com/teams/warriors,2024-25
30,佩顿-普里查德,凯尔特人,5.0,1.2,4.17,https://nba.hupu.com/players/paytonpritchard-152381.html,https://nba.hupu.com/teams/celtics,2024-25
30,小海梅-哈克斯,热火,5.0,2.08,2.4,https://nba.hupu.com/players/jaimejaquez-152980.html,https://nba.hupu.com/teams/heat,2024-25
34,特雷-琼斯,公牛,4.9,1.61,3.04,https://nba.hupu.com/players/trejones-152373.html,https://nba.hupu.com/teams/bulls,2024-25
35,杰伦-布朗,凯尔特人,4.8,3.58,1.34,https://nba.hupu.com/players/jaylenbrown-150166.html,https://nba.hupu.com/teams/celtics,2024-25
35,科林-吉莱斯皮,太阳,4.8,1.84,2.61,https://nba.hupu.com/players/collingillespie-152820.html,https://nba.hupu.com/teams/suns,2024-25
35,朗佐-鲍尔,骑士,4.8,1.74,2.76,https://nba.hupu.com/players/lonzoball-150429.html,https://nba.hupu.com/teams/cavaliers,2024-25
38,杰伦-萨格斯,魔术,4.7,2.75,1.71,https://nba.hupu.com/players/jalensuggs-152633.html,https://nba.hupu.com/teams/magic,2024-25
38,凯肖恩·乔治,奇才,4.7,3.29,1.43,https://nba.hupu.com/players/kyshawngeorge-153127.html,https://nba.hupu.com/teams/wizards,2024-25
40,德斯蒙德-贝恩,魔术,4.5,2.04,2.21,https://nba.hupu.com/players/desmondbane-152407.html,https://nba.hupu.com/teams/magic,2024-25
40,尼古拉斯-克拉克斯顿,篮网,4.5,1.46,3.08,https://nba.hupu.com/players/nicclaxton-151757.html,https://nba.hupu.com/teams/nets,2024-25
42,卡尔顿·卡林顿,奇才,4.4,2.22,1.98,https://nba.hupu.com/players/bubcarrington-153128.html,https://nba.hupu.com/teams/wizards,2024-25
43,昆廷-格兰姆斯,76人,4.3,2.61,1.65,https://nba.hupu.com/players/quentingrimes-152631.html,https://nba.hupu.com/teams/76ers,2024-25
43,丹吉洛-拉塞尔,独行侠,4.3,2.14,2.01,https://nba.hupu.com/players/dangelorussell-150029.html,https://nba.hupu.com/teams/mavericks,2024-25
43,米卡尔-布里奇斯,尼克斯,4.3,0.96,4.48,https://nba.hupu.com/players/mikalbridges-150953.html,https://nba.hupu.com/teams/knicks,2024-25
46,科林-塞克斯顿,黄蜂,4.2,2.48,1.69,https://nba.hupu.com/players/collinsexton-150952.html,https://nba.hupu.com/teams/hornets,2024-25
46,布兰登-威廉姆斯,独行侠,4.2,1.83,2.3,https://nba.hupu.com/players/brandonwilliams-152720.html,https://nba.hupu.com/teams/mavericks,2024-25
48,科尔-安东尼,雄鹿,4.1,1.92,2.14,https://nba.hupu.com/players/coleanthony-152370.html,https://nba.hupu.com/teams/bucks,2024-25
48,埃文-莫布利,骑士,4.1,2.24,1.83,https://nba.hupu.com/players/evanmobley-152590.html,https://nba.hupu.com/teams/cavaliers,2024-25
50,帕斯卡尔-西亚卡姆,步行者,4.0,2.13,1.88,https://nba.hupu.com/players/pascalsiakam-150219.html,https://nba.hupu.com/teams/pacers,2024-25
