排名,球员,球队,场次,时间,得分,球员链接,球队链接,赛季
,球员,球队,,,,,,2024-25
1,卢卡-东契奇,湖人,35.0,,,https://nba.hupu.com/players/lukadoncic-150648.html,https://nba.hupu.com/teams/lakers,2024-25
2,谢伊-吉尔杰斯-亚历山大,雷霆,32.6,,,https://nba.hupu.com/players/shaigilgeousalexander-150959.html,https://nba.hupu.com/teams/thunder,2024-25
3,泰雷斯-马克西,76人,31.5,,,https://nba.hupu.com/players/tyresemaxey-152368.html,https://nba.hupu.com/teams/76ers,2024-25
4,多诺万-米切尔,骑士,31.3,,,https://nba.hupu.com/players/donovanmitchell-150510.html,https://nba.hupu.com/teams/cavaliers,2024-25
5,尼古拉-约基奇,掘金,29.5,,,https://nba.hupu.com/players/nikolajokic-4943.html,https://nba.hupu.com/teams/nuggets,2024-25
6,杰伦-布朗,凯尔特人,29.1,,,https://nba.hupu.com/players/jaylenbrown-150166.html,https://nba.hupu.com/teams/celtics,2024-25
7,安东尼-爱德华兹,森林狼,28.7,,,https://nba.hupu.com/players/anthonyedwards-152352.html,https://nba.hupu.com/teams/timberwolves,2024-25
8,杰伦-布伦森,尼克斯,28.3,,,https://nba.hupu.com/players/jalenbrunson-150988.html,https://nba.hupu.com/teams/knicks,2024-25
9,奥斯汀-里夫斯,湖人,27.8,,,https://nba.hupu.com/players/austinreaves-152614.html,https://nba.hupu.com/teams/lakers,2024-25
10,劳里-马尔卡宁,爵士,27.6,,,https://nba.hupu.com/players/laurimarkkanen-150439.html,https://nba.hupu.com/teams/jazz,2024-25
11,凯德-坎宁安,活塞,26.9,,,https://nba.hupu.com/players/cadecunningham-152593.html,https://nba.hupu.com/teams/pistons,2024-25
12,詹姆斯-哈登,快船,26.6,,,https://nba.hupu.com/players/jamesharden-3306.html,https://nba.hupu.com/teams/clippers,2024-25
13,小迈克尔-波特,篮网,26.3,,,https://nba.hupu.com/players/michaelporter-150924.html,https://nba.hupu.com/teams/nets,2024-25
