排名,球员,球队,场次,前场,后场,总篮板,球员链接,球队链接,赛季
,球员,球队,,,,,,,2024-25
1,尼古拉-约基奇,掘金,12.3,3.0,9.3,24.0,https://nba.hupu.com/players/nikolajokic-4943.html,https://nba.hupu.com/teams/nuggets,2024-25
2,卡尔-安东尼-唐斯,尼克斯,12.0,3.2,8.9,23.0,https://nba.hupu.com/players/karlanthonytowns-150037.html,https://nba.hupu.com/teams/knicks,2024-25
3,伊维察-祖巴茨,快船,11.4,3.6,7.9,25.0,https://nba.hupu.com/players/ivicazubac-150201.html,https://nba.hupu.com/teams/clippers,2024-25
4,杰伦-杜伦,活塞,11.3,4.1,7.2,22.0,https://nba.hupu.com/players/jalenduren-152841.html,https://nba.hupu.com/teams/pistons,2024-25
5,以赛亚-哈尔滕施泰因,雷霆,10.7,3.3,7.4,19.0,https://nba.hupu.com/players/isaiahhartenstein-151386.html,https://nba.hupu.com/teams/thunder,2024-25
6,杰伦-约翰逊,老鹰,10.5,1.4,9.0,23.0,https://nba.hupu.com/players/jalenjohnson-152583.html,https://nba.hupu.com/teams/hawks,2024-25
7,鲁迪-戈贝尔,森林狼,10.2,3.6,6.7,25.0,https://nba.hupu.com/players/rudygobert-4834.html,https://nba.hupu.com/teams/timberwolves,2024-25
7,多诺万·克林根,开拓者,10.2,4.6,5.6,21.0,https://nba.hupu.com/players/donovanclingan-153121.html,https://nba.hupu.com/teams/blazers,2024-25
9,凯莱尔·韦尔,热火,10.1,3.2,6.9,25.0,https://nba.hupu.com/players/kelelware-153115.html,https://nba.hupu.com/teams/heat,2024-25
10,优素福-努尔基奇,爵士,9.6,2.4,7.1,23.0,https://nba.hupu.com/players/jusufnurkic-4941.html,https://nba.hupu.com/teams/jazz,2024-25
11,约什-吉迪,公牛,9.4,1.3,8.1,22.0,https://nba.hupu.com/players/joshgiddey-152646.html,https://nba.hupu.com/teams/bulls,2024-25
11,阿尔佩伦-申京,火箭,9.4,3.0,6.4,20.0,https://nba.hupu.com/players/alperensengun-152602.html,https://nba.hupu.com/teams/rockets,2024-25
11,安德烈-德拉蒙德,76人,9.4,3.3,6.0,23.0,https://nba.hupu.com/players/andredrummond-3646.html,https://nba.hupu.com/teams/76ers,2024-25
14,埃文-莫布利,骑士,9.3,2.6,6.7,25.0,https://nba.hupu.com/players/evanmobley-152590.html,https://nba.hupu.com/teams/cavaliers,2024-25
15,尼古拉-武切维奇,公牛,9.2,2.2,7.0,23.0,https://nba.hupu.com/players/nikolavucevic-3569.html,https://nba.hupu.com/teams/bulls,2024-25
16,史蒂文-亚当斯,火箭,9.1,4.7,4.3,18.0,https://nba.hupu.com/players/stevenadams-4829.html,https://nba.hupu.com/teams/rockets,2024-25
17,卢卡-东契奇,湖人,9.0,0.8,8.2,18.0,https://nba.hupu.com/players/lukadoncic-150648.html,https://nba.hupu.com/teams/lakers,2024-25
18,巴姆-阿德巴约,热火,8.9,1.4,7.5,19.0,https://nba.hupu.com/players/bamadebayo-150509.html,https://nba.hupu.com/teams/heat,2024-25
