球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
俄克拉荷马城雷霆,杰伦-威廉姆斯,https://nba.hupu.com/players/jalenwilliams-152855.html,Jalen Williams,8,G-F,1.98米/6尺6,86公斤/190磅,2001-04-14,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,克里斯-扬布拉德,https://nba.hupu.com/players/chrisyoungblood-153367.html,Chris Youngblood,3,G,1.93米/6尺4,100公斤/221磅,2002-02-09,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,切特-霍姆格伦,https://nba.hupu.com/players/chetholmgren-152857.html,Chet Holmgren,7,C-F,2.13米/7尺0,88公斤/195磅,2002-05-01,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,杰林-威廉姆斯,https://nba.hupu.com/players/jaylinwilliams-152875.html,Jaylin Williams,6,F,2.08米/6尺10,109公斤/240磅,2002-06-29,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,乌斯曼-迪昂,https://nba.hupu.com/players/ousmanedieng-152881.html,Ousmane Dieng,13,F,2.08米/6尺10,98公斤/216磅,2003-05-21,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,尼古拉·托皮奇,https://nba.hupu.com/players/nikolatopic-153137.html,Nikola Topić,44,G,1.98米/6尺6,91公斤/201磅,2005-08-10,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,以赛亚-乔,https://nba.hupu.com/players/isaiahjoe-152391.html,Isaiah Joe,11,G,1.96米/6尺5,75公斤/165磅,1999-07-02,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,阿龙-威金斯,https://nba.hupu.com/players/aaronwiggins-152648.html,Aaron Wiggins,21,G,1.96米/6尺5,86公斤/190磅,1999-01-02,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,阿杰·米切尔,https://nba.hupu.com/players/ajaymitchell-153162.html,Ajay Mitchell,25,G,1.96米/6尺5,86公斤/190磅,2002-06-25,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,肯里奇-威廉姆斯,https://nba.hupu.com/players/kenrichwilliams-151382.html,Kenrich Williams,34,G-F,1.98米/6尺6,95公斤/210磅,1994-12-02,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,以赛亚-哈尔滕施泰因,https://nba.hupu.com/players/isaiahhartenstein-151386.html,Isaiah Hartenstein,55,C-F,2.13米/7尺0,113公斤/250磅,1998-05-05,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,布兰登·卡尔森,https://nba.hupu.com/players/brandencarlson-153182.html,Branden Carlson,15,C,2.13米/7尺0,100公斤/220磅,1999-06-14,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,亚历克斯-卡鲁索,https://nba.hupu.com/players/alexcaruso-150418.html,Alex Caruso,9,G,1.93米/6尺4,84公斤/186磅,1994-02-28,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,卡森·华莱士,https://nba.hupu.com/players/casonwallace-152988.html,Cason Wallace,22,G,1.93米/6尺4,88公斤/193磅,2003-11-07,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,吕冈茨-多尔特,https://nba.hupu.com/players/luguentzdort-151725.html,Luguentz Dort,5,G,1.91米/6尺3,98公斤/215磅,1999-04-19,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,谢伊-吉尔杰斯-亚历山大,https://nba.hupu.com/players/shaigilgeousalexander-150959.html,Shai Gilgeous-Alexander,2,G,1.96米/6尺5,82公斤/180磅,1998-07-12,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,托马斯-索伯,https://nba.hupu.com/players/thomassorber-153296.html,Thomas Sorber,12,C,2.08米/6尺10,116公斤/255磅,2005-12-25,本年薪金：万美元,2024-25
俄克拉荷马城雷霆,布鲁克斯-巴恩海泽,https://nba.hupu.com/players/brooksbarnhizer-153327.html,Brooks Barnhizer,23,G,1.98米/6尺6,104公斤/230磅,2002-03-02,本年薪金：万美元,2024-25
