球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
克利夫兰骑士,小拉里-南斯,https://nba.hupu.com/players/larrynance-150030.html,Larry Nance,22,F-C,2.01米/6尺7,111公斤/245磅,1993-01-01,本年薪金：万美元,2024-25
克利夫兰骑士,埃文-莫布利,https://nba.hupu.com/players/evanmobley-152590.html,Evan Mobley,4,C,2.13米/7尺0,98公斤/215磅,2001-06-18,本年薪金：万美元,2024-25
克利夫兰骑士,杰隆·泰森,https://nba.hupu.com/players/jaylontyson-153111.html,Jaylon Tyson,20,G-F,2.01米/6尺7,98公斤/215磅,2002-12-02,本年薪金：万美元,2024-25
克利夫兰骑士,卢克-特拉弗斯,https://nba.hupu.com/players/luketravers-152891.html,Luke Travers,33,F,2.01米/6尺7,94公斤/207磅,2001-09-03,本年薪金：万美元,2024-25
克利夫兰骑士,萨姆-梅里尔,https://nba.hupu.com/players/sammerrill-152392.html,Sam Merrill,5,G,1.96米/6尺5,93公斤/205磅,1996-05-15,本年薪金：万美元,2024-25
克利夫兰骑士,马克斯-斯特鲁斯,https://nba.hupu.com/players/maxstrus-152149.html,Max Strus,1,G-F,1.96米/6尺5,98公斤/215磅,1996-03-28,本年薪金：万美元,2024-25
克利夫兰骑士,内匡-汤姆林,https://nba.hupu.com/players/naeqwantomlin-153236.html,Nae'Qwan Tomlin,35,F,2.08米/6尺10,95公斤/210磅,2000-12-19,本年薪金：万美元,2024-25
克利夫兰骑士,德安德烈-亨特,https://nba.hupu.com/players/deandrehunter-151703.html,De'Andre Hunter,12,F-G,2.03米/6尺8,102公斤/225磅,1997-12-02,本年薪金：万美元,2024-25
克利夫兰骑士,达里厄斯-加兰,https://nba.hupu.com/players/dariusgarland-151704.html,Darius Garland,10,G,1.85米/6尺1,87公斤/192磅,2000-01-26,本年薪金：万美元,2024-25
克利夫兰骑士,朗佐-鲍尔,https://nba.hupu.com/players/lonzoball-150429.html,Lonzo Ball,2,G,1.98米/6尺6,86公斤/190磅,1997-10-27,本年薪金：万美元,2024-25
克利夫兰骑士,贾勒特-阿伦,https://nba.hupu.com/players/jarrettallen-150441.html,Jarrett Allen,31,C,2.11米/6尺11,110公斤/243磅,1998-04-21,本年薪金：万美元,2024-25
克利夫兰骑士,克里斯·利文斯顿,https://nba.hupu.com/players/chrislivingston-153008.html,Chris Livingston,8,F,1.98米/6尺6,100公斤/220磅,2003-10-15,本年薪金：万美元,2024-25
克利夫兰骑士,小克雷格·波特,https://nba.hupu.com/players/craigporter-153042.html,Craig Porter,9,G,1.88米/6尺2,84公斤/186磅,2000-02-26,本年薪金：万美元,2024-25
克利夫兰骑士,托马斯-布莱恩特,https://nba.hupu.com/players/thomasbryant-150489.html,Thomas Bryant,3,C-F,2.08米/6尺10,112公斤/248磅,1997-07-31,本年薪金：万美元,2024-25
克利夫兰骑士,泰瑞斯-普洛克特,https://nba.hupu.com/players/tyreseproctor-153309.html,Tyrese Proctor,24,G,1.98米/6尺6,83公斤/183磅,2004-04-01,本年薪金：万美元,2024-25
克利夫兰骑士,迪恩-韦德,https://nba.hupu.com/players/deanwade-151776.html,Dean Wade,32,F-C,2.06米/6尺9,103公斤/228磅,1996-11-20,本年薪金：万美元,2024-25
克利夫兰骑士,多诺万-米切尔,https://nba.hupu.com/players/donovanmitchell-150510.html,Donovan Mitchell,45,G,1.85米/6尺1,98公斤/215磅,1996-09-07,本年薪金：万美元,2024-25
