球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
印第安纳步行者,本尼迪克特-马瑟林,https://nba.hupu.com/players/bennedictmathurin-152847.html,Bennedict Mathurin,00,G-F,1.98米/6尺6,95公斤/210磅,2002-06-19,本年薪金：万美元,2024-25
印第安纳步行者,以赛亚-杰克逊,https://nba.hupu.com/players/isaiahjackson-152605.html,Isaiah Jackson,22,F,2.08米/6尺10,93公斤/205磅,2002-01-10,本年薪金：万美元,2024-25
印第安纳步行者,安德鲁-内姆布哈德,https://nba.hupu.com/players/andrewnembhard-152867.html,Andrew Nembhard,2,G-F,1.96米/6尺5,88公斤/193磅,2000-01-16,本年薪金：万美元,2024-25
印第安纳步行者,泰雷斯-哈利伯顿,https://nba.hupu.com/players/tyresehaliburton-152359.html,Tyrese Haliburton,0,G,1.96米/6尺5,84公斤/185磅,2000-02-29,本年薪金：万美元,2024-25
印第安纳步行者,奥比-托平,https://nba.hupu.com/players/obitoppin-152360.html,Obi Toppin,1,F,2.06米/6尺9,100公斤/220磅,1998-03-04,本年薪金：万美元,2024-25
印第安纳步行者,阿龙-内史密斯,https://nba.hupu.com/players/aaronnesmith-152366.html,Aaron Nesmith,23,G-F,1.98米/6尺6,98公斤/215磅,1999-10-16,本年薪金：万美元,2024-25
印第安纳步行者,约翰尼·弗菲,https://nba.hupu.com/players/johnnyfurphy-153148.html,Johnny Furphy,12,G,2.06米/6尺9,92公斤/202磅,2004-12-08,本年薪金：万美元,2024-25
印第安纳步行者,杰-胡夫,https://nba.hupu.com/players/jayhuff-152650.html,Jay Huff,32,C,2.16米/7尺1,109公斤/240磅,1997-08-25,本年薪金：万美元,2024-25
印第安纳步行者,加里森-马修斯,https://nba.hupu.com/players/garrisonmathews-152140.html,Garrison Mathews,24,G,1.96米/6尺5,98公斤/215磅,1996-10-24,本年薪金：万美元,2024-25
印第安纳步行者,伊桑-汤普森,https://nba.hupu.com/players/ethanthompson-152671.html,Ethan Thompson,55,G,1.96米/6尺5,88公斤/195磅,1999-05-04,本年薪金：万美元,2024-25
印第安纳步行者,昆顿-杰克逊,https://nba.hupu.com/players/quentonjackson-152928.html,Quenton Jackson,29,G,1.96米/6尺5,78公斤/173磅,1998-09-15,本年薪金：万美元,2024-25
印第安纳步行者,TJ-麦康奈尔,https://nba.hupu.com/players/tjmcconnell-150142.html,T.J. McConnell,9,G,1.85米/6尺1,86公斤/190磅,1992-03-25,本年薪金：万美元,2024-25
印第安纳步行者,本·谢泼德,https://nba.hupu.com/players/bensheppard-152976.html,Ben Sheppard,26,G,1.98米/6尺6,86公斤/190磅,2001-07-16,本年薪金：万美元,2024-25
印第安纳步行者,贾雷斯-沃克,https://nba.hupu.com/players/jaracewalker-152977.html,Jarace Walker,5,F,2.03米/6尺8,109公斤/240磅,2003-09-04,本年薪金：万美元,2024-25
印第安纳步行者,帕斯卡尔-西亚卡姆,https://nba.hupu.com/players/pascalsiakam-150219.html,Pascal Siakam,43,F,2.06米/6尺9,104公斤/230磅,1994-04-02,本年薪金：万美元,2024-25
印第安纳步行者,托尼-布拉德利,https://nba.hupu.com/players/tonybradley-150491.html,Tony Bradley,13,C-F,2.08米/6尺10,112公斤/248磅,1998-01-08,本年薪金：万美元,2024-25
印第安纳步行者,卡姆-琼斯,https://nba.hupu.com/players/kamjones-153315.html,Kam Jones,7,G,1.96米/6尺5,93公斤/205磅,2002-02-25,本年薪金：万美元,2024-25
印第安纳步行者,泰隆-彼得,https://nba.hupu.com/players/taelonpeter-153316.html,Taelon Peter,4,G,1.93米/6尺4,95公斤/210磅,2002-02-27,本年薪金：万美元,2024-25
