球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
圣安东尼奥马刺,卢克-科内特,https://nba.hupu.com/players/lukekornet-150789.html,Luke Kornet,7,C-F,2.18米/7尺2,113公斤/250磅,1995-07-15,本年薪金：万美元,2024-25
圣安东尼奥马刺,杰里米-索汉,https://nba.hupu.com/players/jeremysochan-152853.html,Jeremy Sochan,10,F,2.06米/6尺9,104公斤/230磅,2003-05-20,本年薪金：万美元,2024-25
圣安东尼奥马刺,斯蒂芬·卡斯尔,https://nba.hupu.com/players/stephoncastle-153123.html,Stephon Castle,5,G,1.98米/6尺6,98公斤/215磅,2004-11-01,本年薪金：万美元,2024-25
圣安东尼奥马刺,德文-瓦塞尔,https://nba.hupu.com/players/devinvassell-152367.html,Devin Vassell,24,G-F,2.01米/6尺7,91公斤/200磅,2000-08-23,本年薪金：万美元,2024-25
圣安东尼奥马刺,哈里森-巴恩斯,https://nba.hupu.com/players/harrisonbarnes-3644.html,Harrison Barnes,40,F,2.03米/6尺8,102公斤/225磅,1992-05-30,本年薪金：万美元,2024-25
圣安东尼奥马刺,朱利安-尚彭尼,https://nba.hupu.com/players/julianchampagnie-152896.html,Julian Champagnie,30,F,1.98米/6尺6,96公斤/212磅,2001-06-29,本年薪金：万美元,2024-25
圣安东尼奥马刺,哈里森·英格拉姆,https://nba.hupu.com/players/harrisoningram-153161.html,Harrison Ingram,55,F,2.01米/6尺7,102公斤/225磅,2002-11-27,本年薪金：万美元,2024-25
圣安东尼奥马刺,乔丹-麦克劳克林,https://nba.hupu.com/players/jordanmclaughlin-151413.html,Jordan McLaughlin,0,G,1.8米/5尺11,84公斤/185磅,1996-04-09,本年薪金：万美元,2024-25
圣安东尼奥马刺,大卫·琼斯,https://nba.hupu.com/players/davidjonesgarcia-153217.html,David Jones Garcia,25,F,1.98米/6尺6,95公斤/210磅,2001-11-24,本年薪金：万美元,2024-25
圣安东尼奥马刺,林迪-沃特斯三世,https://nba.hupu.com/players/lindywaters-152728.html,Lindy Waters,43,F,1.98米/6尺6,98公斤/215磅,1997-07-28,本年薪金：万美元,2024-25
圣安东尼奥马刺,维克托·文班亚马,https://nba.hupu.com/players/victorwembanyama-152987.html,Victor Wembanyama,1,F-C,2.18米/7尺2,104公斤/229磅,2004-01-04,本年薪金：万美元,2024-25
圣安东尼奥马刺,凯尔登-约翰逊,https://nba.hupu.com/players/keldonjohnson-151710.html,Keldon Johnson,3,F-G,1.96米/6尺5,100公斤/220磅,1999-10-11,本年薪金：万美元,2024-25
圣安东尼奥马刺,达龙-福克斯,https://nba.hupu.com/players/deaaronfox-150434.html,De'Aaron Fox,4,G,1.91米/6尺3,84公斤/185磅,1997-12-20,本年薪金：万美元,2024-25
圣安东尼奥马刺,凯利-奥利尼克,https://nba.hupu.com/players/kellyolynyk-4779.html,Kelly Olynyk,8,F-C,2.11米/6尺11,109公斤/240磅,1991-04-19,本年薪金：万美元,2024-25
圣安东尼奥马刺,卡特-布莱恩特,https://nba.hupu.com/players/carterbryant-153294.html,Carter Bryant,11,F,2.03米/6尺8,102公斤/225磅,2005-11-26,本年薪金：万美元,2024-25
圣安东尼奥马刺,迪伦-哈珀,https://nba.hupu.com/players/dylanharper-153295.html,Dylan Harper,2,G,1.98米/6尺6,100公斤/220磅,2006-03-02,本年薪金：万美元,2024-25
圣安东尼奥马刺,俾斯麦-比永博,https://nba.hupu.com/players/bismackbiyombo-3560.html,Bismack Biyombo,18,C,2.03米/6尺8,116公斤/255磅,1992-08-28,本年薪金：万美元,2024-25
