球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
多伦多猛龙,AJ-劳森,https://nba.hupu.com/players/ajlawson-152582.html,A.J. Lawson,0,G,1.98米/6尺6,81公斤/178磅,2000-07-15,本年薪金：万美元,2024-25
多伦多猛龙,奥查伊-阿巴吉,https://nba.hupu.com/players/ochaiagbaji-152839.html,Ochai Agbaji,30,G,1.96米/6尺5,98公斤/215磅,2000-04-20,本年薪金：万美元,2024-25
多伦多猛龙,贾科比·沃尔特,https://nba.hupu.com/players/jakobewalter-153129.html,Ja'Kobe Walter,14,G,1.96米/6尺5,88公斤/195磅,2004-09-04,本年薪金：万美元,2024-25
多伦多猛龙,桑德罗-马穆凯拉什维利,https://nba.hupu.com/players/sandromamukelashvili-152618.html,Sandro Mamukelashvili,54,F-C,2.06米/6尺9,109公斤/240磅,1999-05-23,本年薪金：万美元,2024-25
多伦多猛龙,伊曼纽尔-奎克利,https://nba.hupu.com/players/immanuelquickley-152390.html,Immanuel Quickley,5,G,1.91米/6尺3,85公斤/188磅,1999-06-17,本年薪金：万美元,2024-25
多伦多猛龙,斯科蒂-巴恩斯,https://nba.hupu.com/players/scottiebarnes-152653.html,Scottie Barnes,4,F-G,2.01米/6尺7,102公斤/225磅,2001-08-01,本年薪金：万美元,2024-25
多伦多猛龙,乔纳森·莫格博,https://nba.hupu.com/players/jonathanmogbo-153165.html,Jonathan Mogbo,2,F,2.03米/6尺8,102公斤/225磅,2001-10-29,本年薪金：万美元,2024-25
多伦多猛龙,贾马尔·谢德,https://nba.hupu.com/players/jamalshead-153166.html,Jamal Shead,23,G,1.85米/6尺1,91公斤/200磅,2002-07-24,本年薪金：万美元,2024-25
多伦多猛龙,加莱特-坦普尔,https://nba.hupu.com/players/garretttemple-3440.html,Garrett Temple,17,G-F,1.96米/6尺5,88公斤/195磅,1986-05-08,本年薪金：万美元,2024-25
多伦多猛龙,RJ-巴雷特,https://nba.hupu.com/players/rjbarrett-151670.html,RJ Barrett,9,F-G,1.98米/6尺6,97公斤/214磅,2000-06-14,本年薪金：万美元,2024-25
多伦多猛龙,布兰登-英格拉姆,https://nba.hupu.com/players/brandoningram-150164.html,Brandon Ingram,3,F,2.01米/6尺7,86公斤/190磅,1997-09-02,本年薪金：万美元,2024-25
多伦多猛龙,雅各布-珀尔特尔,https://nba.hupu.com/players/jakobpoeltl-150170.html,Jakob Poeltl,19,C,2.16米/7尺1,111公斤/245磅,1995-10-15,本年薪金：万美元,2024-25
多伦多猛龙,格雷迪·迪克,https://nba.hupu.com/players/gradeydick-152993.html,Gradey Dick,1,G-F,2.03米/6尺8,93公斤/205磅,2003-11-20,本年薪金：万美元,2024-25
多伦多猛龙,杰米森-巴特尔,https://nba.hupu.com/players/jamisonbattle-153259.html,Jamison Battle,77,F,1.98米/6尺6,100公斤/220磅,2001-05-10,本年薪金：万美元,2024-25
多伦多猛龙,科林-默里-博伊尔斯,https://nba.hupu.com/players/collinmurrayboyles-153301.html,Collin Murray-Boyles,12,F,2.03米/6尺8,111公斤/245磅,2005-06-10,本年薪金：万美元,2024-25
多伦多猛龙,阿利贾-马丁,https://nba.hupu.com/players/alijahmartin-153330.html,Alijah Martin,55,G,1.88米/6尺2,95公斤/210磅,2001-12-26,本年薪金：万美元,2024-25
多伦多猛龙,查基-赫本,https://nba.hupu.com/players/chuckyhepburn-153340.html,Chucky Hepburn,24,G,1.88米/6尺2,86公斤/190磅,2003-02-09,本年薪金：万美元,2024-25
