球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
奥兰多魔术,保罗-班切罗,https://nba.hupu.com/players/paolobanchero-152850.html,Paolo Banchero,5,F,2.08米/6尺10,113公斤/250磅,2002-11-12,本年薪金：万美元,2024-25
奥兰多魔术,泰厄斯-琼斯,https://nba.hupu.com/players/tyusjones-150038.html,Tyus Jones,2,G,1.83米/6尺0,89公斤/196磅,1996-05-10,本年薪金：万美元,2024-25
奥兰多魔术,特里斯坦-达·席尔瓦,https://nba.hupu.com/players/tristandasilva-153118.html,Tristan da Silva,23,F,2.06米/6尺9,100公斤/220磅,2001-05-15,本年薪金：万美元,2024-25
奥兰多魔术,弗朗茨-瓦格纳,https://nba.hupu.com/players/franzwagner-152632.html,Franz Wagner,22,F,2.06米/6尺9,100公斤/220磅,2001-08-27,本年薪金：万美元,2024-25
奥兰多魔术,杰伦-萨格斯,https://nba.hupu.com/players/jalensuggs-152633.html,Jalen Suggs,4,G,1.93米/6尺4,93公斤/205磅,2001-06-03,本年薪金：万美元,2024-25
奥兰多魔术,德斯蒙德-贝恩,https://nba.hupu.com/players/desmondbane-152407.html,Desmond Bane,3,G,1.96米/6尺5,98公斤/215磅,1998-06-25,本年薪金：万美元,2024-25
奥兰多魔术,贾马尔-凯恩,https://nba.hupu.com/players/jamalcain-152943.html,Jamal Cain,8,F,2.01米/6尺7,93公斤/205磅,1999-03-20,本年薪金：万美元,2024-25
奥兰多魔术,安东尼·布莱克,https://nba.hupu.com/players/anthonyblack-152983.html,Anthony Black,0,G,2.01米/6尺7,90公斤/198磅,2004-01-20,本年薪金：万美元,2024-25
奥兰多魔术,戈加-比塔泽,https://nba.hupu.com/players/gogabitadze-150936.html,Goga Bitadze,35,C-F,2.11米/6尺11,113公斤/250磅,1999-07-20,本年薪金：万美元,2024-25
奥兰多魔术,杰特·霍华德,https://nba.hupu.com/players/jetthoward-152984.html,Jett Howard,13,G,2.03米/6尺8,98公斤/215磅,2003-09-14,本年薪金：万美元,2024-25
奥兰多魔术,乔纳森-艾萨克,https://nba.hupu.com/players/jonathanisaac-150435.html,Jonathan Isaac,1,F,2.11米/6尺11,104公斤/230磅,1997-10-03,本年薪金：万美元,2024-25
奥兰多魔术,温德尔-卡特,https://nba.hupu.com/players/wendellcarter-150957.html,Wendell Carter,34,C-F,2.06米/6尺9,122公斤/270磅,1999-04-16,本年薪金：万美元,2024-25
奥兰多魔术,杰斯-理查德森,https://nba.hupu.com/players/jaserichardson-153289.html,Jase Richardson,11,G,1.91米/6尺3,84公斤/185磅,2005-10-16,本年薪金：万美元,2024-25
奥兰多魔术,莫里茨-瓦格纳,https://nba.hupu.com/players/moritzwagner-150989.html,Moritz Wagner,21,F-C,2.11米/6尺11,111公斤/245磅,1997-04-26,本年薪金：万美元,2024-25
奥兰多魔术,科林·卡斯尔顿,https://nba.hupu.com/players/colincastleton-153044.html,Colin Castleton,14,C,2.11米/6尺11,113公斤/250磅,2000-05-25,本年薪金：万美元,2024-25
奥兰多魔术,诺阿-庞达,https://nba.hupu.com/players/noahpenda-153322.html,Noah Penda,93,G-F,2.03米/6尺8,102公斤/225磅,2005-01-07,本年薪金：万美元,2024-25
奥兰多魔术,奥兰多-罗宾逊,https://nba.hupu.com/players/orlandorobinson-152816.html,Orlando Robinson,7,C,2.13米/7尺0,107公斤/235磅,2000-07-10,本年薪金：万美元,2024-25
