球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
布鲁克林篮网,泰雷斯-马丁,https://nba.hupu.com/players/tyresemartin-152862.html,Tyrese Martin,13,F,1.98米/6尺6,98公斤/215磅,1999-03-07,本年薪金：万美元,2024-25
布鲁克林篮网,E.J-利德尔,https://nba.hupu.com/players/ejliddell-152864.html,E.J. Liddell,9,F,2.01米/6尺7,109公斤/240磅,2000-12-18,本年薪金：万美元,2024-25
布鲁克林篮网,戴罗恩-夏普,https://nba.hupu.com/players/dayronsharpe-152621.html,Day'Ron Sharpe,20,C,2.11米/6尺11,120公斤/265磅,2001-11-06,本年薪金：万美元,2024-25
布鲁克林篮网,卡梅伦-托马斯,https://nba.hupu.com/players/camthomas-152624.html,Cam Thomas,24,G,1.96米/6尺5,95公斤/210磅,2001-10-13,本年薪金：万美元,2024-25
布鲁克林篮网,泰森-埃蒂安,https://nba.hupu.com/players/tysonetienne-152897.html,Tyson Etienne,10,G,1.88米/6尺2,92公斤/203磅,1999-09-17,本年薪金：万美元,2024-25
布鲁克林篮网,宰伊尔-威廉姆斯,https://nba.hupu.com/players/ziairewilliams-152658.html,Ziaire Williams,1,F,2.03米/6尺8,84公斤/185磅,2001-09-12,本年薪金：万美元,2024-25
布鲁克林篮网,海伍德-海史密斯,https://nba.hupu.com/players/haywoodhighsmith-151672.html,Haywood Highsmith,7,F,2.01米/6尺7,100公斤/220磅,1996-12-09,本年薪金：万美元,2024-25
布鲁克林篮网,小迈克尔-波特,https://nba.hupu.com/players/michaelporter-150924.html,Michael Porter,17,F,2.08米/6尺10,99公斤/218磅,1998-06-29,本年薪金：万美元,2024-25
布鲁克林篮网,诺厄·克洛尼,https://nba.hupu.com/players/noahclowney-152982.html,Noah Clowney,21,F-C,2.08米/6尺10,95公斤/210磅,2004-07-14,本年薪金：万美元,2024-25
布鲁克林篮网,杰伦·威尔逊,https://nba.hupu.com/players/jalenwilson-153011.html,Jalen Wilson,22,F,2.03米/6尺8,102公斤/225磅,2000-11-04,本年薪金：万美元,2024-25
布鲁克林篮网,诺兰-特拉奥雷,https://nba.hupu.com/players/nolantraore-153284.html,Nolan Traore,88,G,1.91米/6尺3,79公斤/175磅,2006-05-28,本年薪金：万美元,2024-25
布鲁克林篮网,丹尼-沃尔夫,https://nba.hupu.com/players/dannywolf-153285.html,Danny Wolf,2,F,2.13米/7尺0,113公斤/250磅,2004-05-05,本年薪金：万美元,2024-25
布鲁克林篮网,叶戈尔-杰明,https://nba.hupu.com/players/egordemin-153286.html,Egor Dëmin,8,G,2.06米/6尺9,86公斤/190磅,2006-03-03,本年薪金：万美元,2024-25
布鲁克林篮网,德雷克-鲍威尔,https://nba.hupu.com/players/drakepowell-153287.html,Drake Powell,4,G-F,1.98米/6尺6,88公斤/195磅,2005-09-08,本年薪金：万美元,2024-25
布鲁克林篮网,本-萨拉夫,https://nba.hupu.com/players/bensaraf-153288.html,Ben Saraf,77,G,1.98米/6尺6,91公斤/200磅,2006-04-14,本年薪金：万美元,2024-25
布鲁克林篮网,尼古拉斯-克拉克斯顿,https://nba.hupu.com/players/nicclaxton-151757.html,Nic Claxton,33,C,2.11米/6尺11,98公斤/215磅,1999-04-17,本年薪金：万美元,2024-25
布鲁克林篮网,特伦斯-曼,https://nba.hupu.com/players/terancemann-151763.html,Terance Mann,14,G-F,1.96米/6尺5,98公斤/215磅,1996-10-18,本年薪金：万美元,2024-25
