球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
底特律活塞,杰伦-杜伦,https://nba.hupu.com/players/jalenduren-152841.html,Jalen Duren,0,C,2.11米/6尺11,113公斤/250磅,2003-11-18,本年薪金：万美元,2024-25
底特律活塞,杰登·艾维,https://nba.hupu.com/players/jadenivey-152842.html,Jaden Ivey,23,G,1.93米/6尺4,88公斤/195磅,2002-02-13,本年薪金：万美元,2024-25
底特律活塞,凯德-坎宁安,https://nba.hupu.com/players/cadecunningham-152593.html,Cade Cunningham,2,G,2.01米/6尺7,100公斤/220磅,2001-09-25,本年薪金：万美元,2024-25
底特律活塞,小温德尔-摩尔,https://nba.hupu.com/players/wendellmoore-152849.html,Wendell Moore,9,G,1.96米/6尺5,97公斤/213磅,2001-09-18,本年薪金：万美元,2024-25
底特律活塞,罗恩·霍兰二世,https://nba.hupu.com/players/ronaldholland-153139.html,Ronald Holland,5,F,2.03米/6尺8,93公斤/206磅,2005-07-07,本年薪金：万美元,2024-25
底特律活塞,保罗-里德,https://nba.hupu.com/players/paulreed-152374.html,Paul Reed,7,F,2.06米/6尺9,95公斤/210磅,1999-06-14,本年薪金：万美元,2024-25
底特律活塞,邓肯-罗宾逊,https://nba.hupu.com/players/duncanrobinson-151372.html,Duncan Robinson,55,F,2.01米/6尺7,98公斤/215磅,1994-04-22,本年薪金：万美元,2024-25
底特律活塞,贾文特-格林,https://nba.hupu.com/players/javontegreen-152148.html,Javonte Green,31,G,1.93米/6尺4,93公斤/205磅,1993-07-23,本年薪金：万美元,2024-25
底特律活塞,丹尼斯·詹金斯,https://nba.hupu.com/players/danissjenkins-153175.html,Daniss Jenkins,24,G,1.93米/6尺4,84公斤/185磅,2001-08-17,本年薪金：万美元,2024-25
底特律活塞,艾萨克·琼斯,https://nba.hupu.com/players/isaacjones-153180.html,Isaac Jones,3,F,2.06米/6尺9,111公斤/245磅,2000-07-11,本年薪金：万美元,2024-25
底特律活塞,以赛亚-斯图尔特,https://nba.hupu.com/players/isaiahstewart-152413.html,Isaiah Stewart,28,F-C,2.06米/6尺9,113公斤/250磅,2001-05-22,本年薪金：万美元,2024-25
底特律活塞,博比·克林特曼,https://nba.hupu.com/players/bobiklintman-153183.html,Bobi Klintman,34,F,2.06米/6尺9,96公斤/212磅,2003-03-06,本年薪金：万美元,2024-25
底特律活塞,奥萨尔·汤普森,https://nba.hupu.com/players/ausarthompson-152971.html,Ausar Thompson,9,G-F,2.01米/6尺7,98公斤/215磅,2003-01-30,本年薪金：万美元,2024-25
底特律活塞,马库斯·萨瑟,https://nba.hupu.com/players/marcussasser-152972.html,Marcus Sasser,25,G,1.88米/6尺2,88公斤/195磅,2000-09-21,本年薪金：万美元,2024-25
底特律活塞,托卢-史密斯三世,https://nba.hupu.com/players/tolusmith-153258.html,Tolu Smith,35,F,2.11米/6尺11,111公斤/245磅,2000-07-26,本年薪金：万美元,2024-25
底特律活塞,卡里斯-勒韦尔,https://nba.hupu.com/players/carislevert-150190.html,Caris LeVert,8,G,1.98米/6尺6,93公斤/205磅,1994-08-25,本年薪金：万美元,2024-25
底特律活塞,查兹-兰尼尔,https://nba.hupu.com/players/chazlanier-153311.html,Chaz Lanier,20,G,1.96米/6尺5,94公斤/207磅,2001-12-19,本年薪金：万美元,2024-25
底特律活塞,托拜厄斯-哈里斯,https://nba.hupu.com/players/tobiasharris-3572.html,Tobias Harris,12,F,2.03米/6尺8,102公斤/226磅,1992-07-15,本年薪金：万美元,2024-25
