球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
丹佛掘金,柯蒂斯-琼斯,https://nba.hupu.com/players/curtisjones-153348.html,Curtis Jones,1,G,1.93米/6尺4,88公斤/195磅,2001-10-04,本年薪金：万美元,2024-25,--
丹佛掘金,克里斯琴-布朗,https://nba.hupu.com/players/christianbraun-152840.html,Christian Braun,0,G,2.01米/6尺7,99公斤/218磅,2001-04-17,本年薪金：万美元,2024-25,"$4,921,797"
丹佛掘金,佩顿-沃特森,https://nba.hupu.com/players/peytonwatson-152856.html,Peyton Watson,8,G,2.03米/6尺8,91公斤/200磅,2002-09-11,本年薪金：万美元,2024-25,"$4,356,476"
丹佛掘金,达隆·霍姆斯二世,https://nba.hupu.com/players/daronholmes-153112.html,DaRon Holmes,14,F,2.08米/6尺10,107公斤/235磅,2002-08-15,本年薪金：万美元,2024-25,
丹佛掘金,齐克-纳吉,https://nba.hupu.com/players/zekennaji-152380.html,Zeke Nnaji,22,F-C,2.08米/6尺10,109公斤/240磅,2001-01-09,本年薪金：万美元,2024-25,"$8,177,778"
丹佛掘金,尼古拉-约基奇,https://nba.hupu.com/players/nikolajokic-4943.html,Nikola Jokić,15,C,2.13米/7尺0,129公斤/284磅,1995-02-19,本年薪金：万美元,2024-25,
丹佛掘金,阿龙-戈登,https://nba.hupu.com/players/aarongordon-4944.html,Aaron Gordon,32,F,2.03米/6尺8,107公斤/235磅,1995-09-16,本年薪金：万美元,2024-25,"$22,841,455"
丹佛掘金,朱利安·斯特劳瑟,https://nba.hupu.com/players/julianstrawther-152970.html,Julian Strawther,3,G,2.01米/6尺7,93公斤/205磅,2002-04-18,本年薪金：万美元,2024-25,"$2,674,200"
丹佛掘金,斯宾塞·琼斯,https://nba.hupu.com/players/spencerjones-153231.html,Spencer Jones,21,F,2.01米/6尺7,102公斤/225磅,2001-06-14,本年薪金：万美元,2024-25,--
丹佛掘金,贾马尔-默里,https://nba.hupu.com/players/jamalmurray-150167.html,Jamal Murray,27,G,1.93米/6尺4,98公斤/215磅,1997-02-23,本年薪金：万美元,2024-25,"$46,394,100"
丹佛掘金,布鲁斯-布朗,https://nba.hupu.com/players/brucebrown-150941.html,Bruce Brown,11,G-F,1.93米/6尺4,92公斤/202磅,1996-08-15,本年薪金：万美元,2024-25,"$2,296,274"
丹佛掘金,卡梅伦-约翰逊,https://nba.hupu.com/players/cameronjohnson-151721.html,Cameron Johnson,23,F,2.03米/6尺8,95公斤/210磅,1996-03-03,本年薪金：万美元,2024-25,"$21,057,065"
丹佛掘金,亨特·泰森,https://nba.hupu.com/players/huntertyson-153001.html,Hunter Tyson,5,F,2.03米/6尺8,98公斤/215磅,2000-06-13,本年薪金：万美元,2024-25,"$2,221,677"
丹佛掘金,杰伦-皮克特,https://nba.hupu.com/players/jalenpickett-153002.html,Jalen Pickett,24,G,1.93米/6尺4,95公斤/209磅,1999-10-22,本年薪金：万美元,2024-25,"$2,221,677"
丹佛掘金,小蒂姆-哈达威,https://nba.hupu.com/players/timhardaway-4814.html,Tim Hardaway,10,G-F,1.96米/6尺5,93公斤/205磅,1992-03-16,本年薪金：万美元,2024-25,
丹佛掘金,约纳斯-瓦兰丘纳斯,https://nba.hupu.com/players/jonasvalanciūnas-3558.html,Jonas Valančiūnas,17,C,2.11米/6尺11,120公斤/265磅,1992-05-06,本年薪金：万美元,2024-25,
丹佛掘金,塔马尔-贝茨,https://nba.hupu.com/players/tamarbates-153343.html,Tamar Bates,7,G,1.96米/6尺5,88公斤/195磅,2003-02-21,本年薪金：万美元,2024-25,--
