球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
亚特兰大老鹰,杰伦-约翰逊,https://nba.hupu.com/players/jalenjohnson-152583.html,Jalen Johnson,1,F,2.03米/6尺8,95公斤/210磅,2001-12-18,本年薪金：万美元,2024-25,"$30,000,000"
亚特兰大老鹰,克里斯塔普斯-波尔津吉斯,https://nba.hupu.com/players/kristapsporziņģis-150039.html,Kristaps Porziņģis,8,F-C,2.21米/7尺3,109公斤/240磅,1995-08-02,本年薪金：万美元,2024-25,
亚特兰大老鹰,奥涅卡-奥孔古,https://nba.hupu.com/players/onyekaokongwu-152361.html,Onyeka Okongwu,17,F-C,2.03米/6尺8,107公斤/235磅,2000-12-11,本年薪金：万美元,2024-25,"$15,000,000"
亚特兰大老鹰,凯莱布-休斯坦,https://nba.hupu.com/players/calebhoustan-152873.html,Caleb Houstan,33,G,2.03米/6尺8,93公斤/205磅,2003-01-09,本年薪金：万美元,2024-25,"$2,187,451"
亚特兰大老鹰,扎卡里·里萨切尔,https://nba.hupu.com/players/zaccharierisacher-153132.html,Zaccharie Risacher,10,F,2.08米/6尺10,95公斤/210磅,2005-04-08,本年薪金：万美元,2024-25,"$13,197,720"
亚特兰大老鹰,戴森-丹尼尔斯,https://nba.hupu.com/players/dysondaniels-152879.html,Dyson Daniels,5,G,1.98米/6尺6,90公斤/199磅,2003-03-17,本年薪金：万美元,2024-25,"$7,707,709"
亚特兰大老鹰,尼科拉·久里希奇,https://nba.hupu.com/players/nikolaĐurisic-153142.html,Nikola Đurišić,22,G,2.01米/6尺7,95公斤/209磅,2004-02-23,本年薪金：万美元,2024-25,
亚特兰大老鹰,恩法利·丹特,https://nba.hupu.com/players/nfalydante-153170.html,N'Faly Dante,12,C,2.11米/6尺11,120公斤/265磅,2001-10-19,本年薪金：万美元,2024-25,"$2,048,494"
亚特兰大老鹰,维特-克雷伊奇,https://nba.hupu.com/players/vitkrejci-152414.html,Vít Krejčí,27,G,2.01米/6尺7,88公斤/195磅,2000-06-19,本年薪金：万美元,2024-25,
亚特兰大老鹰,基顿·华莱士,https://nba.hupu.com/players/keatonwallace-152929.html,Keaton Wallace,2,G,1.91米/6尺3,84公斤/185磅,1999-02-26,本年薪金：万美元,2024-25,"$2,296,274"
亚特兰大老鹰,尼基尔-亚历山大-沃克,https://nba.hupu.com/players/nickeilalexanderwalker-151711.html,Nickeil Alexander-Walker,7,G,1.96米/6尺5,93公斤/205磅,1998-09-02,本年薪金：万美元,2024-25,"$15,161,800"
亚特兰大老鹰,穆罕穆德-盖伊,https://nba.hupu.com/players/mouhamedgueye-152996.html,Mouhamed Gueye,18,F,2.11米/6尺11,95公斤/210磅,2002-11-09,本年薪金：万美元,2024-25,"$2,221,677"
亚特兰大老鹰,特雷-杨,https://nba.hupu.com/players/traeyoung-150951.html,Trae Young,11,G,1.85米/6尺1,82公斤/180磅,1998-09-19,本年薪金：万美元,2024-25,"$45,997,800"
亚特兰大老鹰,阿萨-纽厄尔,https://nba.hupu.com/players/asanewell-153275.html,Asa Newell,14,F,2.11米/6尺11,100公斤/220磅,2005-10-05,本年薪金：万美元,2024-25,"$3,237,480"
亚特兰大老鹰,雅各布·托平,https://nba.hupu.com/players/jacobtoppin-153031.html,Jacob Toppin,0,F,2.06米/6尺9,93公斤/205磅,2000-05-08,本年薪金：万美元,2024-25,--
亚特兰大老鹰,卢克-肯纳德,https://nba.hupu.com/players/lukekennard-150505.html,Luke Kennard,3,G,1.96米/6尺5,93公斤/206磅,1996-06-24,本年薪金：万美元,2024-25,"$11,000,000"
亚特兰大老鹰,埃利-约翰-恩迪亚耶,https://nba.hupu.com/players/elijohnndiaye-153337.html,Eli John Ndiaye,30,F,2.03米/6尺8,95公斤/209磅,2004-06-26,本年薪金：万美元,2024-25,--
