球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
休斯顿火箭,小贾巴里-史密斯,https://nba.hupu.com/players/jabarismith-152844.html,Jabari Smith,10,F,2.08米/6尺10,100公斤/220磅,2003-05-13,本年薪金：万美元,2024-25,
休斯顿火箭,塔里-伊森,https://nba.hupu.com/players/tarieason-152846.html,Tari Eason,17,F,2.03米/6尺8,98公斤/216磅,2001-05-10,本年薪金：万美元,2024-25,"$5,675,766"
休斯顿火箭,里德·谢泼德,https://nba.hupu.com/players/reedsheppard-153113.html,Reed Sheppard,15,G,1.91米/6尺3,85公斤/187磅,2004-06-24,本年薪金：万美元,2024-25,"$10,603,560"
休斯顿火箭,阿尔佩伦-申京,https://nba.hupu.com/players/alperensengun-152602.html,Alperen Sengun,28,C,2.08米/6尺10,110公斤/243磅,2002-07-25,本年薪金：万美元,2024-25,"$33,944,954"
休斯顿火箭,JD-戴维森,https://nba.hupu.com/players/jddavison-152863.html,JD Davison,4,G,1.91米/6尺3,88公斤/195磅,2002-10-03,本年薪金：万美元,2024-25,"$2,270,735"
休斯顿火箭,克林特-卡佩拉,https://nba.hupu.com/players/clintcapela-4908.html,Clint Capela,30,C,2.08米/6尺10,109公斤/240磅,1994-05-18,本年薪金：万美元,2024-25,"$6,700,000"
休斯顿火箭,泰勒·史密斯,https://nba.hupu.com/players/tylersmith-153154.html,Tyler Smith,21,F,2.11米/6尺11,102公斤/224磅,2004-11-02,本年薪金：万美元,2024-25,"$1,955,377"
休斯顿火箭,杰夫-格林,https://nba.hupu.com/players/jeffgreen-1349.html,Jeff Green,32,F,2.03米/6尺8,107公斤/235磅,1986-08-28,本年薪金：万美元,2024-25,"$2,296,274"
休斯顿火箭,以赛亚·克劳福德,https://nba.hupu.com/players/isaiahcrawford-153179.html,Isaiah Crawford,27,F,1.98米/6尺6,100公斤/220磅,2001-11-01,本年薪金：万美元,2024-25,--
休斯顿火箭,弗雷德-范弗利特,https://nba.hupu.com/players/fredvanvleet-150388.html,Fred VanVleet,5,G,1.85米/6尺1,89公斤/197磅,1994-02-25,本年薪金：万美元,2024-25,"$24,038,462"
休斯顿火箭,杰肖恩-泰特,https://nba.hupu.com/players/jaeseantate-152456.html,Jae'Sean Tate,8,F,1.93米/6尺4,104公斤/230磅,1995-10-28,本年薪金：万美元,2024-25,"$2,296,274"
休斯顿火箭,阿门·汤普森,https://nba.hupu.com/players/amenthompson-152975.html,Amen Thompson,1,G-F,2.01米/6尺7,98公斤/215磅,2003-01-30,本年薪金：万美元,2024-25,"$9,690,600"
休斯顿火箭,阿龙-霍勒迪,https://nba.hupu.com/players/aaronholiday-150943.html,Aaron Holiday,0,G,1.83米/6尺0,84公斤/185磅,1996-09-30,本年薪金：万美元,2024-25,--
休斯顿火箭,多里安-芬尼-史密斯,https://nba.hupu.com/players/dorianfinneysmith-150222.html,Dorian Finney-Smith,2,F,2.01米/6尺7,100公斤/220磅,1993-05-04,本年薪金：万美元,2024-25,"$12,700,000"
休斯顿火箭,约什-奥科吉,https://nba.hupu.com/players/joshokogie-150991.html,Josh Okogie,20,G,1.93米/6尺4,97公斤/213磅,1998-09-01,本年薪金：万美元,2024-25,"$7,750,000"
休斯顿火箭,凯文-杜兰特,https://nba.hupu.com/players/kevindurant-1236.html,Kevin Durant,7,F,2.08米/6尺10,109公斤/240磅,1988-09-29,本年薪金：万美元,2024-25,"$54,708,609"
休斯顿火箭,史蒂文-亚当斯,https://nba.hupu.com/players/stevenadams-4829.html,Steven Adams,12,C,2.11米/6尺11,120公斤/265磅,1993-07-20,本年薪金：万美元,2024-25,"$14,130,434"
