球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
华盛顿奇才,谢里夫-库珀,https://nba.hupu.com/players/sharifecooper-152581.html,Sharife Cooper,13,G,1.85米/6尺1,82公斤/180磅,2001-06-11,本年薪金：万美元,2024-25,--
华盛顿奇才,马拉凯布兰纳姆,https://nba.hupu.com/players/malakibranham-152854.html,Malaki Branham,8,F,1.96米/6尺5,82公斤/180磅,2003-05-12,本年薪金：万美元,2024-25,"$4,962,033"
华盛顿奇才,凯肖恩·乔治,https://nba.hupu.com/players/kyshawngeorge-153127.html,Kyshawn George,18,F,2.03米/6尺8,93公斤/205磅,2003-12-12,本年薪金：万美元,2024-25,"$2,966,760"
华盛顿奇才,卡尔顿·卡林顿,https://nba.hupu.com/players/bubcarrington-153128.html,Bub Carrington,7,G,1.96米/6尺5,86公斤/190磅,2005-07-21,本年薪金：万美元,2024-25,"$4,677,600"
华盛顿奇才,AJ·约翰逊,https://nba.hupu.com/players/ajjohnson-153135.html,AJ Johnson,4,G,1.96米/6尺5,75公斤/165磅,2004-12-01,本年薪金：万美元,2024-25,"$3,090,480"
华盛顿奇才,亚历克斯·萨尔,https://nba.hupu.com/players/alexsarr-153138.html,Alex Sarr,20,C,2.13米/7尺0,102公斤/224磅,2005-04-26,本年薪金：万美元,2024-25,"$11,808,240"
华盛顿奇才,科里-基斯珀特,https://nba.hupu.com/players/coreykispert-152651.html,Corey Kispert,24,F,1.98米/6尺6,102公斤/224磅,1999-03-03,本年薪金：万美元,2024-25,"$13,975,000"
华盛顿奇才,贾斯汀-尚帕尼,https://nba.hupu.com/players/justinchampagnie-152655.html,Justin Champagnie,9,G-F,1.98米/6尺6,93公斤/206磅,2001-06-29,本年薪金：万美元,2024-25,"$2,349,578"
华盛顿奇才,克里斯-米德尔顿,https://nba.hupu.com/players/khrismiddleton-3676.html,Khris Middleton,22,F,2.01米/6尺7,101公斤/222磅,1991-08-12,本年薪金：万美元,2024-25,"$33,926,296"
华盛顿奇才,马文-巴格利,https://nba.hupu.com/players/marvinbagley-150922.html,Marvin Bagley,35,F,2.11米/6尺11,107公斤/235磅,1999-03-14,本年薪金：万美元,2024-25,
华盛顿奇才,卡姆·惠特莫尔,https://nba.hupu.com/players/camwhitmore-152974.html,Cam Whitmore,1,F,2.01米/6尺7,105公斤/232磅,2004-07-08,本年薪金：万美元,2024-25,"$3,539,760"
华盛顿奇才,比拉尔·库利巴利,https://nba.hupu.com/players/bilalcoulibaly-152992.html,Bilal Coulibaly,0,G,2.03米/6尺8,88公斤/195磅,2004-07-26,本年薪金：万美元,2024-25,"$7,275,600"
华盛顿奇才,特里斯坦·武克切维奇,https://nba.hupu.com/players/tristanvukcevic-153018.html,Tristan Vukcevic,0,F,2.13米/7尺0,101公斤/223磅,2003-03-11,本年薪金：万美元,2024-25,--
华盛顿奇才,特雷-约翰逊,https://nba.hupu.com/players/trejohnson-153299.html,Tre Johnson,12,G,1.98米/6尺6,86公斤/190磅,2006-03-07,本年薪金：万美元,2024-25,"$8,237,640"
华盛顿奇才,威尔-莱利,https://nba.hupu.com/players/willriley-153300.html,Will Riley,27,F,2.03米/6尺8,88公斤/195磅,2006-02-10,本年薪金：万美元,2024-25,"$3,512,520"
华盛顿奇才,CJ-麦科勒姆,https://nba.hupu.com/players/cjmccollum-4844.html,CJ McCollum,3,G,1.91米/6尺3,86公斤/190磅,1991-09-19,本年薪金：万美元,2024-25,"$30,666,666"
华盛顿奇才,贾米尔-沃特金斯,https://nba.hupu.com/players/jamirwatkins-153329.html,Jamir Watkins,5,F,2.01米/6尺7,95公斤/210磅,2001-07-06,本年薪金：万美元,2024-25,--
华盛顿奇才,安东尼-吉尔,https://nba.hupu.com/players/anthonygill-150259.html,Anthony Gill,16,F,2.03米/6尺8,104公斤/230磅,1992-10-17,本年薪金：万美元,2024-25,"$2,546,675"
