球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
夏洛特黄蜂,帕特-康诺顿,https://nba.hupu.com/players/patconnaughton-150050.html,Pat Connaughton,21,G,1.96米/6尺5,95公斤/209磅,1993-01-06,本年薪金：万美元,2024-25,"$9,423,869"
夏洛特黄蜂,拉梅洛-鲍尔,https://nba.hupu.com/players/lameloball-152355.html,LaMelo Ball,1,G,1.98米/6尺6,82公斤/180磅,2001-08-22,本年薪金：万美元,2024-25,"$37,958,760"
夏洛特黄蜂,穆萨-迪亚巴特,https://nba.hupu.com/players/moussadiabate-152869.html,Moussa Diabaté,14,F,2.11米/6尺11,95公斤/210磅,2002-01-21,本年薪金：万美元,2024-25,
夏洛特黄蜂,提贾尼·萨隆,https://nba.hupu.com/players/tidjanesalaun-153131.html,Tidjane Salaün,31,F,2.06米/6尺9,96公斤/212磅,2005-08-10,本年薪金：万美元,2024-25,
夏洛特黄蜂,KJ·辛普森,https://nba.hupu.com/players/kjsimpson-153141.html,KJ Simpson,25,G,1.88米/6尺2,86公斤/189磅,2002-08-08,本年薪金：万美元,2024-25,--
夏洛特黄蜂,安东尼奥·里夫斯,https://nba.hupu.com/players/antonioreeves-153144.html,Antonio Reeves,12,G,1.98米/6尺6,88公斤/195磅,2000-11-20,本年薪金：万美元,2024-25,"$1,955,377"
夏洛特黄蜂,特雷-曼,https://nba.hupu.com/players/tremann-152645.html,Tre Mann,23,G,1.91米/6尺3,81公斤/178磅,2001-02-03,本年薪金：万美元,2024-25,"$8,000,000"
夏洛特黄蜂,约什-格林,https://nba.hupu.com/players/joshgreen-152412.html,Josh Green,10,G,1.98米/6尺6,91公斤/200磅,2000-11-16,本年薪金：万美元,2024-25,"$13,666,667"
夏洛特黄蜂,布兰登·米勒,https://nba.hupu.com/players/brandonmiller-152964.html,Brandon Miller,24,F,2.06米/6尺9,91公斤/200磅,2002-11-22,本年薪金：万美元,2024-25,"$11,968,800"
夏洛特黄蜂,格兰特-威廉姆斯,https://nba.hupu.com/players/grantwilliams-151718.html,Grant Williams,2,F,1.98米/6尺6,107公斤/236磅,1998-11-30,本年薪金：万美元,2024-25,"$13,645,500"
夏洛特黄蜂,迈尔斯-布里奇斯,https://nba.hupu.com/players/milesbridges-150440.html,Miles Bridges,0,F,1.98米/6尺6,102公斤/225磅,1998-03-21,本年薪金：万美元,2024-25,"$25,000,000"
夏洛特黄蜂,科林-塞克斯顿,https://nba.hupu.com/players/collinsexton-150952.html,Collin Sexton,8,G,1.85米/6尺1,86公斤/190磅,1999-01-04,本年薪金：万美元,2024-25,"$19,170,000"
夏洛特黄蜂,康-克尼普尔,https://nba.hupu.com/players/konknueppel-153273.html,Kon Knueppel,7,G-F,2.01米/6尺7,98公斤/217磅,2005-08-03,本年薪金：万美元,2024-25,"$10,015,680"
夏洛特黄蜂,利亚姆-麦克尼利,https://nba.hupu.com/players/liammcneeley-153274.html,Liam McNeeley,33,F,2.01米/6尺7,95公斤/210磅,2005-10-10,本年薪金：万美元,2024-25,"$2,763,960"
夏洛特黄蜂,梅森-普拉姆利,https://nba.hupu.com/players/masonplumlee-4810.html,Mason Plumlee,22,F-C,2.11米/6尺11,115公斤/254磅,1990-03-05,本年薪金：万美元,2024-25,"$2,296,274"
夏洛特黄蜂,瑞安-卡尔克布伦纳,https://nba.hupu.com/players/ryankalkbrenner-153303.html,Ryan Kalkbrenner,11,C,2.16米/7尺1,122公斤/270磅,2002-01-17,本年薪金：万美元,2024-25,"$2,296,274"
夏洛特黄蜂,西翁-詹姆斯,https://nba.hupu.com/players/sionjames-153304.html,Sion James,4,G,1.98米/6尺6,100公斤/220磅,2002-12-04,本年薪金：万美元,2024-25,"$2,296,274"
夏洛特黄蜂,德鲁·彼得森,https://nba.hupu.com/players/drewpeterson-153065.html,Drew Peterson,9,F,2.06米/6尺9,98公斤/215磅,1999-11-09,本年薪金：万美元,2024-25,--
