球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
孟菲斯灰熊,小贾伦-杰克逊,https://nba.hupu.com/players/jarenjackson-151072.html,Jaren Jackson,8,F-C,2.11米/6尺11,110公斤/242磅,1999-09-15,本年薪金：万美元,2024-25,
孟菲斯灰熊,扎克·埃迪,https://nba.hupu.com/players/zachedey-153130.html,Zach Edey,14,C,2.24米/7尺4,136公斤/300磅,2002-05-14,本年薪金：万美元,2024-25,"$6,045,000"
孟菲斯灰熊,文斯-威廉姆斯,https://nba.hupu.com/players/vincewilliams-152877.html,Vince Williams,5,G,1.98米/6尺6,93公斤/205磅,2000-08-30,本年薪金：万美元,2024-25,
孟菲斯灰熊,约翰-康查尔,https://nba.hupu.com/players/johnkonchar-152127.html,John Konchar,46,G,1.96米/6尺5,95公斤/210磅,1996-03-22,本年薪金：万美元,2024-25,"$6,165,000"
孟菲斯灰熊,乔克-兰代尔,https://nba.hupu.com/players/jocklandale-152642.html,Jock Landale,31,C,2.11米/6尺11,116公斤/255磅,1995-10-25,本年薪金：万美元,2024-25,"$8,000,000"
孟菲斯灰熊,卡梅隆·斯宾塞,https://nba.hupu.com/players/camspencer-153167.html,Cam Spencer,24,G,1.93米/6尺4,93公斤/205磅,2000-04-06,本年薪金：万美元,2024-25,"$2,537,989"
孟菲斯灰熊,杰伦·威尔斯,https://nba.hupu.com/players/jaylenwells-153168.html,Jaylen Wells,0,F,2.03米/6尺8,93公斤/205磅,2003-08-26,本年薪金：万美元,2024-25,"$1,955,377"
孟菲斯灰熊,桑迪-阿尔达马,https://nba.hupu.com/players/santialdama-152659.html,Santi Aldama,7,F-C,2.11米/6尺11,98公斤/215磅,2001-01-10,本年薪金：万美元,2024-25,"$18,485,916"
孟菲斯灰熊,贾-莫兰特,https://nba.hupu.com/players/jamorant-151686.html,Ja Morant,12,G,1.91米/6尺3,79公斤/174磅,1999-08-10,本年薪金：万美元,2024-25,"$39,446,090"
孟菲斯灰熊,奥利维耶·马克桑斯-普罗斯珀,https://nba.hupu.com/players/oliviermaxenceprosper-152969.html,Olivier-Maxence Prosper,18,F,2.03米/6尺8,104公斤/230磅,2002-07-03,本年薪金：万美元,2024-25,"$3,007,080"
孟菲斯灰熊,布兰登-克拉克,https://nba.hupu.com/players/brandonclarke-151716.html,Brandon Clarke,15,F,2.03米/6尺8,98公斤/215磅,1996-09-19,本年薪金：万美元,2024-25,"$12,500,000"
孟菲斯灰熊,泰-杰罗姆,https://nba.hupu.com/players/tyjerome-151717.html,Ty Jerome,2,G-F,1.96米/6尺5,88公斤/195磅,1997-07-08,本年薪金：万美元,2024-25,"$8,781,000"
孟菲斯灰熊,肯塔维厄斯-考德威尔-波普,https://nba.hupu.com/players/kentaviouscaldwellpope-4790.html,Kentavious Caldwell-Pope,3,G,1.96米/6尺5,93公斤/204磅,1993-02-18,本年薪金：万美元,2024-25,"$21,621,500"
孟菲斯灰熊,格雷格-杰克逊二世,https://nba.hupu.com/players/ggjackson-153020.html,GG Jackson,45,F,2.06米/6尺9,98公斤/215磅,2004-12-17,本年薪金：万美元,2024-25,"$2,221,677"
孟菲斯灰熊,塞德里克-考沃德,https://nba.hupu.com/players/cedriccoward-153302.html,Cedric Coward,23,G,1.98米/6尺6,98公斤/215磅,2003-09-11,本年薪金：万美元,2024-25,"$5,715,120"
孟菲斯灰熊,贾迈-马沙克,https://nba.hupu.com/players/jahmaimashack-153314.html,Jahmai Mashack,21,G,1.93米/6尺4,92公斤/202磅,2002-11-10,本年薪金：万美元,2024-25,--
孟菲斯灰熊,小斯科蒂-皮彭,https://nba.hupu.com/players/scottypippen-152819.html,Scotty Pippen,1,G,1.85米/6尺1,84公斤/185磅,2000-11-10,本年薪金：万美元,2024-25,
孟菲斯灰熊,贾文-斯莫尔,https://nba.hupu.com/players/javonsmall-153331.html,Javon Small,10,G,1.91米/6尺3,86公斤/190磅,2002-12-19,本年薪金：万美元,2024-25,--
