球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
密尔沃基雄鹿,阿米尔-科菲,https://nba.hupu.com/players/amircoffey-152067.html,Amir Coffey,17,G-F,2.01米/6尺7,95公斤/210磅,1997-06-17,本年薪金：万美元,2024-25,"$2,296,274"
密尔沃基雄鹿,迈尔斯-特纳,https://nba.hupu.com/players/mylesturner-150026.html,Myles Turner,3,C-F,2.11米/6尺11,113公斤/250磅,1996-03-24,本年薪金：万美元,2024-25,"$25,318,251"
密尔沃基雄鹿,莱恩-罗林斯,https://nba.hupu.com/players/ryanrollins-152866.html,Ryan Rollins,13,G,1.93米/6尺4,82公斤/180磅,2002-07-03,本年薪金：万美元,2024-25,"$4,000,000"
密尔沃基雄鹿,亚历克斯-阿德托昆博,https://nba.hupu.com/players/alexantetokounmpo-153382.html,Alex Antetokounmpo,29,F,2.03米/6尺8,97公斤/214磅,2001-08-27,本年薪金：万美元,2024-25,--
密尔沃基雄鹿,科尔-安东尼,https://nba.hupu.com/players/coleanthony-152370.html,Cole Anthony,50,G,1.91米/6尺3,84公斤/185磅,2000-05-15,本年薪金：万美元,2024-25,"$13,100,000"
密尔沃基雄鹿,杰里科-西姆斯,https://nba.hupu.com/players/jerichosims-152630.html,Jericho Sims,0,C,2.08米/6尺10,111公斤/245磅,1998-10-20,本年薪金：万美元,2024-25,"$2,461,463"
密尔沃基雄鹿,萨纳西斯-阿德托昆博,https://nba.hupu.com/players/thanasisantetokounmpo-152125.html,Thanasis Antetokounmpo,43,F,1.98米/6尺6,99公斤/219磅,1992-07-18,本年薪金：万美元,2024-25,"$2,296,274"
密尔沃基雄鹿,加里-哈里斯,https://nba.hupu.com/players/garyharris-4942.html,Gary Harris,11,G,1.93米/6尺4,95公斤/210磅,1994-09-14,本年薪金：万美元,2024-25,"$3,634,153"
密尔沃基雄鹿,小凯文-波特,https://nba.hupu.com/players/kevinporter-151714.html,Kevin Porter,7,G-F,1.93米/6尺4,92公斤/203磅,2000-05-04,本年薪金：万美元,2024-25,
密尔沃基雄鹿,托里恩-普林斯,https://nba.hupu.com/players/taureanprince-150188.html,Taurean Prince,12,F,2.01米/6尺7,99公斤/218磅,1994-03-22,本年薪金：万美元,2024-25,"$3,303,774"
密尔沃基雄鹿,小安德烈·杰克逊,https://nba.hupu.com/players/andrejackson-153007.html,Andre Jackson,44,G,1.98米/6尺6,95公斤/210磅,2001-11-13,本年薪金：万美元,2024-25,
密尔沃基雄鹿,扬尼斯-阿德托昆博,https://nba.hupu.com/players/giannisantetokounmpo-4802.html,Giannis Antetokounmpo,34,F,2.11米/6尺11,110公斤/242磅,1994-12-06,本年薪金：万美元,2024-25,"$54,126,450"
密尔沃基雄鹿,小加里-特伦特,https://nba.hupu.com/players/garytrent-150978.html,Gary Trent,5,G,1.96米/6尺5,95公斤/209磅,1999-01-18,本年薪金：万美元,2024-25,
密尔沃基雄鹿,凯尔-库兹马,https://nba.hupu.com/players/kylekuzma-150471.html,Kyle Kuzma,18,F,2.06米/6尺9,100公斤/221磅,1995-07-24,本年薪金：万美元,2024-25,"$21,810,605"
密尔沃基雄鹿,皮特·南斯,https://nba.hupu.com/players/petenance-153059.html,Pete Nance,35,F,2.11米/6尺11,104公斤/230磅,2000-02-19,本年薪金：万美元,2024-25,--
密尔沃基雄鹿,AJ-格林,https://nba.hupu.com/players/ajgreen-152817.html,AJ Green,20,G,1.93米/6尺4,86公斤/190磅,1999-09-27,本年薪金：万美元,2024-25,"$2,301,587"
密尔沃基雄鹿,马克-西尔斯,https://nba.hupu.com/players/marksears-153332.html,Mark Sears,19,G,1.85米/6尺1,86公斤/190磅,2002-02-19,本年薪金：万美元,2024-25,--
密尔沃基雄鹿,博比-波蒂斯,https://nba.hupu.com/players/bobbyportis-150009.html,Bobby Portis,9,F,2.08米/6尺10,113公斤/250磅,1995-02-10,本年薪金：万美元,2024-25,"$13,580,247"
