球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
新奥尔良鹈鹕,凯文-卢尼,https://nba.hupu.com/players/kevonlooney-150023.html,Kevon Looney,55,F,2.06米/6尺9,101公斤/222磅,1996-02-06,本年薪金：万美元,2024-25,"$8,000,000"
新奥尔良鹈鹕,特雷-墨菲,https://nba.hupu.com/players/treymurphy-152586.html,Trey Murphy,25,F,2.03米/6尺8,93公斤/206磅,2000-06-18,本年薪金：万美元,2024-25,
新奥尔良鹈鹕,赫伯特-琼斯,https://nba.hupu.com/players/herbertjones-152587.html,Herbert Jones,2,F,1.98米/6尺6,93公斤/206磅,1998-10-06,本年薪金：万美元,2024-25,"$13,937,574"
新奥尔良鹈鹕,约瑟-阿尔瓦拉多,https://nba.hupu.com/players/josealvarado-152588.html,Jose Alvarado,15,G,1.83米/6尺0,81公斤/179磅,1998-04-12,本年薪金：万美元,2024-25,"$4,500,000"
新奥尔良鹈鹕,伊夫·蜜西,https://nba.hupu.com/players/yvesmissi-153110.html,Yves Missi,21,C,2.13米/7尺0,107公斤/235磅,2004-05-14,本年薪金：万美元,2024-25,"$3,353,040"
新奥尔良鹈鹕,布赖斯-麦高文斯,https://nba.hupu.com/players/brycemcgowens-152861.html,Bryce McGowens,11,G,2.01米/6尺7,81公斤/179磅,2002-11-08,本年薪金：万美元,2024-25,--
新奥尔良鹈鹕,萨迪克-贝,https://nba.hupu.com/players/saddiqbey-152362.html,Saddiq Bey,41,G-F,2.03米/6尺8,98公斤/215磅,1999-04-09,本年薪金：万美元,2024-25,"$6,118,644"
新奥尔良鹈鹕,马尔科-托多洛维奇,https://nba.hupu.com/players/karlomatkovic-152888.html,Karlo Matković,17,F-C,2.08米/6尺10,105公斤/231磅,2001-03-30,本年薪金：万美元,2024-25,
新奥尔良鹈鹕,蔡恩-威廉森,https://nba.hupu.com/players/zionwilliamson-151669.html,Zion Williamson,1,F,1.98米/6尺6,129公斤/284磅,2000-07-06,本年薪金：万美元,2024-25,"$39,446,090"
新奥尔良鹈鹕,乔丹·霍金斯,https://nba.hupu.com/players/jordanhawkins-152967.html,Jordan Hawkins,24,G,1.96米/6尺5,88公斤/195磅,2002-04-29,本年薪金：万美元,2024-25,"$4,741,320"
新奥尔良鹈鹕,特雷·亚历山大,https://nba.hupu.com/players/treyalexander-153226.html,Trey Alexander,23,G,1.93米/6尺4,86公斤/190磅,2003-05-02,本年薪金：万美元,2024-25,--
新奥尔良鹈鹕,德章泰-默里,https://nba.hupu.com/players/dejountemurray-150181.html,Dejounte Murray,5,G,1.93米/6尺4,82公斤/180磅,1996-09-19,本年薪金：万美元,2024-25,"$30,801,103"
新奥尔良鹈鹕,杰里迈亚-费尔斯,https://nba.hupu.com/players/jeremiahfears-153277.html,Jeremiah Fears,0,G,1.93米/6尺4,83公斤/182磅,2006-10-14,本年薪金：万美元,2024-25,"$7,520,040"
新奥尔良鹈鹕,德里克-奎因,https://nba.hupu.com/players/derikqueen-153278.html,Derik Queen,22,C,2.08米/6尺10,112公斤/246磅,2004-12-27,本年薪金：万美元,2024-25,"$5,157,960"
新奥尔良鹈鹕,乔丹-普尔,https://nba.hupu.com/players/jordanpoole-151747.html,Jordan Poole,3,G,1.93米/6尺4,88公斤/194磅,1999-06-19,本年薪金：万美元,2024-25,"$31,848,215"
新奥尔良鹈鹕,德安德烈-乔丹,https://nba.hupu.com/players/deandrejordan-3014.html,DeAndre Jordan,9,C,2.11米/6尺11,120公斤/265磅,1988-07-21,本年薪金：万美元,2024-25,--
新奥尔良鹈鹕,迈卡-皮维,https://nba.hupu.com/players/micahpeavy-153307.html,Micah Peavy,14,G-F,2.03米/6尺8,100公斤/220磅,2001-07-16,本年薪金：万美元,2024-25,"$1,272,970"
新奥尔良鹈鹕,亨特-迪金森,https://nba.hupu.com/players/hunterdickinson-153335.html,Hunter Dickinson,4,C,2.18米/7尺2,120公斤/265磅,2000-11-25,本年薪金：万美元,2024-25,--
