球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
明尼苏达森林狼,纳肖恩-海兰德,https://nba.hupu.com/players/boneshyland-152592.html,Bones Hyland,8,G,1.91米/6尺3,75公斤/165磅,2000-09-14,本年薪金：万美元,2024-25,"$2,296,274"
明尼苏达森林狼,小特伦斯·香农,https://nba.hupu.com/players/terrenceshannon-153116.html,Terrence Shannon,1,G-F,1.98米/6尺6,102公斤/225磅,2000-07-30,本年薪金：万美元,2024-25,
明尼苏达森林狼,罗伯特·迪林厄姆,https://nba.hupu.com/players/robdillingham-153117.html,Rob Dillingham,4,G,1.91米/6尺3,80公斤/176磅,2005-01-04,本年薪金：万美元,2024-25,"$6,576,120"
明尼苏达森林狼,安东尼-爱德华兹,https://nba.hupu.com/players/anthonyedwards-152352.html,Anthony Edwards,5,G,1.93米/6尺4,102公斤/225磅,2001-08-05,本年薪金：万美元,2024-25,"$45,550,512"
明尼苏达森林狼,恩里克·弗里曼,https://nba.hupu.com/players/enriquefreeman-153150.html,Enrique Freeman,25,F,2.01米/6尺7,93公斤/206磅,2000-07-29,本年薪金：万美元,2024-25,--
明尼苏达森林狼,朱利叶斯-兰德尔,https://nba.hupu.com/players/juliusrandle-4932.html,Julius Randle,30,F-C,2.03米/6尺8,113公斤/250磅,1994-11-29,本年薪金：万美元,2024-25,"$30,864,198"
明尼苏达森林狼,杰登-麦克丹尼尔斯,https://nba.hupu.com/players/jadenmcdaniels-152408.html,Jaden McDaniels,3,F,2.08米/6尺10,84公斤/185磅,2000-09-29,本年薪金：万美元,2024-25,"$24,858,622"
明尼苏达森林狼,迈克-康利,https://nba.hupu.com/players/mikeconley-1411.html,Mike Conley,10,G,1.85米/6尺1,79公斤/175磅,1987-10-11,本年薪金：万美元,2024-25,"$10,774,038"
明尼苏达森林狼,乔-英格尔斯,https://nba.hupu.com/players/joeingles-4998.html,Joe Ingles,7,F-G,2.01米/6尺7,100公斤/220磅,1987-10-02,本年薪金：万美元,2024-25,"$2,296,274"
明尼苏达森林狼,纳兹-里德,https://nba.hupu.com/players/nazreid-151960.html,Naz Reid,11,C-F,2.06米/6尺9,120公斤/264磅,1999-08-26,本年薪金：万美元,2024-25,"$21,551,724"
明尼苏达森林狼,唐特-迪温琴佐,https://nba.hupu.com/players/dontedivincenzo-150960.html,Donte DiVincenzo,0,G,1.93米/6尺4,92公斤/203磅,1997-01-31,本年薪金：万美元,2024-25,"$11,990,000"
明尼苏达森林狼,杰伦-克拉克,https://nba.hupu.com/players/jaylenclark-153010.html,Jaylen Clark,22,G,1.96米/6尺5,93公斤/205磅,2001-10-13,本年薪金：万美元,2024-25,"$2,191,897"
明尼苏达森林狼,伦纳德·米勒,https://nba.hupu.com/players/leonardmiller-153023.html,Leonard Miller,33,F,2.08米/6尺10,95公斤/210磅,2003-11-26,本年薪金：万美元,2024-25,"$2,221,677"
明尼苏达森林狼,若昂-贝兰热,https://nba.hupu.com/players/joanberinger-153283.html,Joan Beringer,19,F,2.11米/6尺11,109公斤/240磅,2006-11-11,本年薪金：万美元,2024-25,
明尼苏达森林狼,鲁迪-戈贝尔,https://nba.hupu.com/players/rudygobert-4834.html,Rudy Gobert,27,C,2.16米/7尺1,117公斤/258磅,1992-06-26,本年薪金：万美元,2024-25,"$35,000,000"
明尼苏达森林狼,罗科-齐卡尔斯基,https://nba.hupu.com/players/roccozikarsky-153320.html,Rocco Zikarsky,44,C,2.21米/7尺3,117公斤/258磅,2006-07-11,本年薪金：万美元,2024-25,--
明尼苏达森林狼,约翰尼-朱藏,https://nba.hupu.com/players/johnnyjuzang-152814.html,Johnny Juzang,9,G,2.01米/6尺7,98公斤/215磅,2001-03-17,本年薪金：万美元,2024-25,"$2,840,518"
