球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
波特兰开拓者,朱-霍勒迪,https://nba.hupu.com/players/jrueholiday-3346.html,Jrue Holiday,5,G,1.91米/6尺3,93公斤/205磅,1990-06-12,本年薪金：万美元,2024-25,"$32,400,000"
波特兰开拓者,布雷克-韦斯利,https://nba.hupu.com/players/blakewesley-152852.html,Blake Wesley,1,G,1.96米/6尺5,84公斤/185磅,2003-03-16,本年薪金：万美元,2024-25,"$4,726,328"
波特兰开拓者,多诺万·克林根,https://nba.hupu.com/players/donovanclingan-153121.html,Donovan Clingan,23,C,2.18米/7尺2,120公斤/265磅,2004-02-23,本年薪金：万美元,2024-25,"$7,178,400"
波特兰开拓者,德尼-阿夫迪亚,https://nba.hupu.com/players/deniavdija-152356.html,Deni Avdija,8,F,2.06米/6尺9,95公斤/210磅,2001-01-03,本年薪金：万美元,2024-25,"$14,375,000"
波特兰开拓者,谢登-夏普,https://nba.hupu.com/players/shaedonsharpe-152880.html,Shaedon Sharpe,17,G,1.98米/6尺6,91公斤/200磅,2003-05-30,本年薪金：万美元,2024-25,"$8,399,983"
波特兰开拓者,达米安-利拉德,https://nba.hupu.com/players/damianlillard-3643.html,Damian Lillard,0,G,1.88米/6尺2,88公斤/195磅,1990-07-15,本年薪金：万美元,2024-25,"$14,104,000"
波特兰开拓者,杰拉米-格兰特,https://nba.hupu.com/players/jeramigrant-4961.html,Jerami Grant,9,F,2.03米/6尺8,95公斤/210磅,1994-03-12,本年薪金：万美元,2024-25,"$32,000,000"
波特兰开拓者,克里斯·默里,https://nba.hupu.com/players/krismurray-152985.html,Kris Murray,24,F,2.03米/6尺8,100公斤/220磅,2000-08-19,本年薪金：万美元,2024-25,"$3,132,000"
波特兰开拓者,马蒂斯-赛布尔,https://nba.hupu.com/players/matissethybulle-151724.html,Matisse Thybulle,4,G-F,1.96米/6尺5,91公斤/201磅,1997-03-04,本年薪金：万美元,2024-25,"$11,550,000"
波特兰开拓者,罗伯特-威廉姆斯,https://nba.hupu.com/players/robertwilliams-150962.html,Robert Williams,35,C-F,2.03米/6尺8,107公斤/237磅,1997-10-17,本年薪金：万美元,2024-25,
波特兰开拓者,图马尼-卡马拉,https://nba.hupu.com/players/toumanicamara-153012.html,Toumani Camara,33,F,2.03米/6尺8,100公斤/220磅,2000-05-08,本年薪金：万美元,2024-25,"$2,221,677"
波特兰开拓者,拉扬·吕佩尔,https://nba.hupu.com/players/rayanrupert-153013.html,Rayan Rupert,21,G-F,1.98米/6尺6,93公斤/205磅,2004-05-31,本年薪金：万美元,2024-25,"$2,221,677"
波特兰开拓者,斯库特·亨德森,https://nba.hupu.com/players/scoothenderson-153022.html,Scoot Henderson,0,G,1.88米/6尺2,88公斤/195磅,2004-02-03,本年薪金：万美元,2024-25,"$10,748,040"
波特兰开拓者,西迪·西索科,https://nba.hupu.com/players/sidycissoko-153024.html,Sidy Cissoko,91,G,1.96米/6尺5,102公斤/224磅,2004-04-02,本年薪金：万美元,2024-25,--
波特兰开拓者,杨瀚森,https://nba.hupu.com/players/yanghansen-153292.html,Yang Hansen,16,C,2.18米/7尺2,113公斤/249磅,2005-06-26,本年薪金：万美元,2024-25,"$4,422,360"
波特兰开拓者,贾文特-库克,https://nba.hupu.com/players/javontecooke-153054.html,Javonte Cooke,18,G,1.96米/6尺5,82公斤/180磅,1999-07-11,本年薪金：万美元,2024-25,--
波特兰开拓者,杜普·里斯,https://nba.hupu.com/players/duopreath-153056.html,Duop Reath,26,C,2.11米/6尺11,111公斤/244磅,1996-06-26,本年薪金：万美元,2024-25,"$2,221,677"
波特兰开拓者,凯莱布-乐福,https://nba.hupu.com/players/caleblove-153341.html,Caleb Love,2,G,1.93米/6尺4,93公斤/205磅,2001-09-27,本年薪金：万美元,2024-25,--
