球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
洛杉矶快船,波格丹-波格丹诺维奇,https://nba.hupu.com/players/bogdanbogdanovic-150528.html,Bogdan Bogdanović,10,G,1.98米/6尺6,100公斤/220磅,1992-08-18,本年薪金：万美元,2024-25,
洛杉矶快船,布拉德利-比尔,https://nba.hupu.com/players/bradleybeal-3640.html,Bradley Beal,0,G,1.91米/6尺3,94公斤/207磅,1993-06-28,本年薪金：万美元,2024-25,"$53,666,270"
洛杉矶快船,卡姆·克里斯蒂,https://nba.hupu.com/players/camchristie-153151.html,Cam Christie,12,G,1.98米/6尺6,86公斤/190磅,2005-07-24,本年薪金：万美元,2024-25,"$1,955,377"
洛杉矶快船,小德里克-琼斯,https://nba.hupu.com/players/derrickjones-150409.html,Derrick Jones,5,F,1.98米/6尺6,95公斤/210磅,1997-02-15,本年薪金：万美元,2024-25,
洛杉矶快船,科比·布朗,https://nba.hupu.com/players/kobebrown-152978.html,Kobe Brown,24,F,2.03米/6尺8,113公斤/250磅,2000-01-01,本年薪金：万美元,2024-25,--
洛杉矶快船,克里斯-邓恩,https://nba.hupu.com/players/krisdunn-150168.html,Kris Dunn,8,G,1.91米/6尺3,93公斤/205磅,1994-03-18,本年薪金：万美元,2024-25,"$5,426,000"
洛杉矶快船,雷伊-丹尼斯,https://nba.hupu.com/players/rayjdennis-153255.html,RayJ Dennis,10,G,1.88米/6尺2,84公斤/185磅,2001-03-30,本年薪金：万美元,2024-25,--
洛杉矶快船,乔丹-米勒,https://nba.hupu.com/players/jordanmiller-153005.html,Jordan Miller,22,G,2.01米/6尺7,88公斤/195磅,2000-01-23,本年薪金：万美元,2024-25,"$2,191,897"
洛杉矶快船,伊维察-祖巴茨,https://nba.hupu.com/players/ivicazubac-150201.html,Ivica Zubac,40,C,2.13米/7尺0,109公斤/240磅,1997-03-18,本年薪金：万美元,2024-25,"$18,102,000"
洛杉矶快船,亚尼克-科南-尼德豪泽,https://nba.hupu.com/players/yanickonanniederhauser-153281.html,Yanic Konan Niederhäuser,14,C,2.13米/7尺0,113公斤/250磅,2003-03-14,本年薪金：万美元,2024-25,
洛杉矶快船,布鲁克-洛佩斯,https://nba.hupu.com/players/brooklopez-3013.html,Brook Lopez,11,C,2.13米/7尺0,128公斤/282磅,1988-04-01,本年薪金：万美元,2024-25,"$8,750,000"
洛杉矶快船,尼古拉斯-巴图姆,https://nba.hupu.com/players/nicolasbatum-3025.html,Nicolas Batum,33,G-F,2.06米/6尺9,104公斤/230磅,1988-12-14,本年薪金：万美元,2024-25,"$5,601,600"
洛杉矶快船,约翰-科林斯,https://nba.hupu.com/players/johncollins-150501.html,John Collins,20,F-C,2.06米/6尺9,107公斤/235磅,1997-09-23,本年薪金：万美元,2024-25,"$26,580,000"
洛杉矶快船,科比-桑德斯,https://nba.hupu.com/players/kobesanders-153317.html,Kobe Sanders,4,G,2.06米/6尺9,94公斤/207磅,2002-05-30,本年薪金：万美元,2024-25,--
洛杉矶快船,詹姆斯-哈登,https://nba.hupu.com/players/jamesharden-3306.html,James Harden,1,G,1.96米/6尺5,100公斤/220磅,1989-08-26,本年薪金：万美元,2024-25,"$39,182,692"
洛杉矶快船,科怀-伦纳德,https://nba.hupu.com/players/kawhileonard-3568.html,Kawhi Leonard,2,F,2.01米/6尺7,102公斤/225磅,1991-06-29,本年薪金：万美元,2024-25,"$50,000,000"
