球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
纽约尼克斯,卡尔-安东尼-唐斯,https://nba.hupu.com/players/karlanthonytowns-150037.html,Karl-Anthony Towns,32,C-F,2.11米/6尺11,112公斤/248磅,1995-11-15,本年薪金：万美元,2024-25,"$54,126,450"
纽约尼克斯,帕科姆·达迪耶,https://nba.hupu.com/players/pacomedadiet-153136.html,Pacôme Dadiet,4,F,2.03米/6尺8,95公斤/210磅,2005-07-27,本年薪金：万美元,2024-25,"$2,847,600"
纽约尼克斯,迈尔斯-麦克布莱德,https://nba.hupu.com/players/milesmcbride-152627.html,Miles McBride,2,G,1.85米/6尺1,88公斤/195磅,2000-09-08,本年薪金：万美元,2024-25,"$4,333,333"
纽约尼克斯,凯文·麦卡勒,https://nba.hupu.com/players/kevinmccullar-153155.html,Kevin McCullar,9,G,2.01米/6尺7,96公斤/212磅,2001-03-15,本年薪金：万美元,2024-25,
纽约尼克斯,泰勒·科勒克,https://nba.hupu.com/players/tylerkolek-153156.html,Tyler Kolek,13,G,1.91米/6尺3,88公斤/195磅,2001-03-27,本年薪金：万美元,2024-25,"$2,191,897"
纽约尼克斯,乔丹-克拉克森,https://nba.hupu.com/players/jordanclarkson-4933.html,Jordan Clarkson,0,G,1.93米/6尺4,88公斤/194磅,1992-06-07,本年薪金：万美元,2024-25,"$2,296,274"
纽约尼克斯,阿里尔·胡克波尔蒂,https://nba.hupu.com/players/arielhukporti-153157.html,Ariel Hukporti,55,C,2.11米/6尺11,112公斤/246磅,2002-04-12,本年薪金：万美元,2024-25,"$1,955,377"
纽约尼克斯,米卡尔-布里奇斯,https://nba.hupu.com/players/mikalbridges-150953.html,Mikal Bridges,25,G-F,1.98米/6尺6,95公斤/209磅,1996-08-30,本年薪金：万美元,2024-25,"$24,900,000"
纽约尼克斯,米切尔-罗宾逊,https://nba.hupu.com/players/mitchellrobinson-150969.html,Mitchell Robinson,23,C-F,2.13米/7尺0,109公斤/240磅,1998-04-01,本年薪金：万美元,2024-25,"$12,954,546"
纽约尼克斯,兰德里-沙梅特,https://nba.hupu.com/players/landryshamet-150977.html,Landry Shamet,44,G,1.93米/6尺4,86公斤/190磅,1997-03-13,本年薪金：万美元,2024-25,"$2,296,274"
纽约尼克斯,盖尔雄-亚布塞莱,https://nba.hupu.com/players/guerschonyabusele-150218.html,Guerschon Yabusele,28,F,2.03米/6尺8,118公斤/260磅,1995-12-17,本年薪金：万美元,2024-25,"$5,500,000"
纽约尼克斯,杰伦-布伦森,https://nba.hupu.com/players/jalenbrunson-150988.html,Jalen Brunson,11,G,1.85米/6尺1,86公斤/190磅,1996-08-31,本年薪金：万美元,2024-25,"$34,944,001"
纽约尼克斯,约什-哈特,https://nba.hupu.com/players/joshhart-150488.html,Josh Hart,3,G,1.96米/6尺5,98公斤/215磅,1995-03-06,本年薪金：万美元,2024-25,"$19,472,240"
纽约尼克斯,穆罕默德-迪亚瓦拉,https://nba.hupu.com/players/mohameddiawara-153321.html,Mohamed Diawara,51,F,2.03米/6尺8,91公斤/200磅,2005-04-29,本年薪金：万美元,2024-25,"$1,272,870"
纽约尼克斯,OG-阿奴诺比,https://nba.hupu.com/players/oganunoby-150508.html,OG Anunoby,8,F-G,2.01米/6尺7,105公斤/232磅,1997-07-17,本年薪金：万美元,2024-25,"$39,568,966"
纽约尼克斯,托桑·厄沃马,https://nba.hupu.com/players/tosanevbuomwan-153070.html,Tosan Evbuomwan,20,F,2.03米/6尺8,99公斤/219磅,2001-02-16,本年薪金：万美元,2024-25,--
纽约尼克斯,特雷·杰米森,https://nba.hupu.com/players/treyjemison-153082.html,Trey Jemison,50,C,2.11米/6尺11,118公斤/260磅,1999-11-28,本年薪金：万美元,2024-25,
