球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
芝加哥公牛,达伦-特里,https://nba.hupu.com/players/dalenterry-152838.html,Dalen Terry,7,F,2.01米/6尺7,88公斤/195磅,2002-07-12,本年薪金：万美元,2024-25,"$5,399,118"
芝加哥公牛,阿约-多森姆,https://nba.hupu.com/players/ayodosunmu-152589.html,Ayo Dosunmu,11,G,1.96米/6尺5,91公斤/200磅,2000-01-17,本年薪金：万美元,2024-25,"$7,518,519"
芝加哥公牛,凯文-赫尔特,https://nba.hupu.com/players/kevinhuerter-151068.html,Kevin Huerter,13,G-F,2.01米/6尺7,86公斤/190磅,1998-08-27,本年薪金：万美元,2024-25,"$17,991,071"
芝加哥公牛,艾萨克-奥科罗,https://nba.hupu.com/players/isaacokoro-152357.html,Isaac Okoro,35,F-G,1.98米/6尺6,102公斤/225磅,2001-01-26,本年薪金：万美元,2024-25,"$11,000,000"
芝加哥公牛,帕特里克-威廉姆斯,https://nba.hupu.com/players/patrickwilliams-152363.html,Patrick Williams,44,F,2.03米/6尺8,98公斤/215磅,2001-08-26,本年薪金：万美元,2024-25,"$18,000,000"
芝加哥公牛,杰伦-史密斯,https://nba.hupu.com/players/jalensmith-152372.html,Jalen Smith,25,F-C,2.08米/6尺10,98公斤/215磅,2000-03-16,本年薪金：万美元,2024-25,"$9,000,000"
芝加哥公牛,马塔斯·布泽利斯,https://nba.hupu.com/players/matasbuzelis-153140.html,Matas Buzelis,14,F,2.03米/6尺8,95公斤/209磅,2004-10-13,本年薪金：万美元,2024-25,"$5,455,560"
芝加哥公牛,特雷-琼斯,https://nba.hupu.com/players/trejones-152373.html,Tre Jones,30,G,1.88米/6尺2,84公斤/185磅,2000-01-08,本年薪金：万美元,2024-25,"$8,000,000"
芝加哥公牛,约什-吉迪,https://nba.hupu.com/players/joshgiddey-152646.html,Josh Giddey,3,G,2.03米/6尺8,93公斤/205磅,2002-10-10,本年薪金：万美元,2024-25,"$25,000,000"
芝加哥公牛,特伦廷·弗劳尔斯,https://nba.hupu.com/players/trentynflowers-153233.html,Trentyn Flowers,0,F,2.06米/6尺9,84公斤/185磅,2005-03-08,本年薪金：万美元,2024-25,--
芝加哥公牛,科比-怀特,https://nba.hupu.com/players/cobywhite-151707.html,Coby White,0,G,1.93米/6尺4,88公斤/195磅,2000-02-16,本年薪金：万美元,2024-25,"$12,888,889"
芝加哥公牛,伊曼纽尔-米勒,https://nba.hupu.com/players/emanuelmiller-153249.html,Emanuel Miller,2,F,2.01米/6尺7,98公斤/215磅,2000-06-19,本年薪金：万美元,2024-25,--
芝加哥公牛,朱利安-菲利普斯,https://nba.hupu.com/players/julianphillips-152999.html,Julian Phillips,15,F,2.03米/6尺8,90公斤/198磅,2003-11-05,本年薪金：万美元,2024-25,"$2,221,677"
芝加哥公牛,扎克-科林斯,https://nba.hupu.com/players/zachcollins-150461.html,Zach Collins,12,F-C,2.11米/6尺11,113公斤/250磅,1997-11-19,本年薪金：万美元,2024-25,"$18,080,496"
芝加哥公牛,诺阿-埃森格,https://nba.hupu.com/players/noaessengue-153279.html,Noa Essengue,24,F,2.06米/6尺9,88公斤/194磅,2006-12-18,本年薪金：万美元,2024-25,"$5,429,520"
芝加哥公牛,杰文-卡特,https://nba.hupu.com/players/jevoncarter-150984.html,Jevon Carter,5,G,1.85米/6尺1,91公斤/200磅,1995-09-14,本年薪金：万美元,2024-25,"$6,809,524"
芝加哥公牛,尼古拉-武切维奇,https://nba.hupu.com/players/nikolavucevic-3569.html,Nikola Vučević,9,C,2.11米/6尺11,118公斤/260磅,1990-10-24,本年薪金：万美元,2024-25,
芝加哥公牛,拉克兰-奥尔布里奇,https://nba.hupu.com/players/lachlanolbrich-153342.html,Lachlan Olbrich,47,C,2.06米/6尺9,104公斤/230磅,2003-12-30,本年薪金：万美元,2024-25,--
