球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
菲尼克斯太阳,贾马雷-布耶,https://nba.hupu.com/players/jamareebouyea-152834.html,Jamaree Bouyea,15,G,1.88米/6尺2,82公斤/180磅,1999-06-27,本年薪金：万美元,2024-25,--
菲尼克斯太阳,马克-威廉姆斯,https://nba.hupu.com/players/markwilliams-152835.html,Mark Williams,15,C,2.16米/7尺1,110公斤/242磅,2001-12-16,本年薪金：万美元,2024-25,"$6,276,531"
菲尼克斯太阳,以赛亚-利弗斯,https://nba.hupu.com/players/isaiahlivers-152597.html,Isaiah Livers,18,F,1.98米/6尺6,105公斤/232磅,1998-07-28,本年薪金：万美元,2024-25,--
菲尼克斯太阳,德文-布克,https://nba.hupu.com/players/devinbooker-150044.html,Devin Booker,1,G,1.96米/6尺5,93公斤/206磅,1996-10-30,本年薪金：万美元,2024-25,"$53,142,264"
菲尼克斯太阳,杰伦-格林,https://nba.hupu.com/players/jalengreen-152604.html,Jalen Green,4,G,1.98米/6尺6,84公斤/186磅,2002-02-09,本年薪金：万美元,2024-25,"$33,548,499"
菲尼克斯太阳,瑞安·邓恩,https://nba.hupu.com/players/ryandunn-153120.html,Ryan Dunn,0,F,2.03米/6尺8,98公斤/216磅,2003-01-07,本年薪金：万美元,2024-25,"$2,657,760"
菲尼克斯太阳,罗伊斯-奥尼尔,https://nba.hupu.com/players/royceoneale-150839.html,Royce O'Neale,0,F,1.93米/6尺4,102公斤/226磅,1993-06-05,本年薪金：万美元,2024-25,"$10,125,000"
菲尼克斯太阳,奥索·伊戈达罗,https://nba.hupu.com/players/osoighodaro-153159.html,Oso Ighodaro,11,F,2.11米/6尺11,107公斤/235磅,2002-07-14,本年薪金：万美元,2024-25,"$1,955,377"
菲尼克斯太阳,尼克-理查兹,https://nba.hupu.com/players/nickrichards-152397.html,Nick Richards,2,C,2.11米/6尺11,111公斤/245磅,1997-11-29,本年薪金：万美元,2024-25,"$5,000,000"
菲尼克斯太阳,乔丹-古德温,https://nba.hupu.com/players/jordangoodwin-152662.html,Jordan Goodwin,23,G,1.91米/6尺3,91公斤/200磅,1998-10-23,本年薪金：万美元,2024-25,"$2,349,578"
菲尼克斯太阳,格雷森-阿伦,https://nba.hupu.com/players/graysonallen-150946.html,Grayson Allen,8,G,1.93米/6尺4,90公斤/198磅,1995-10-08,本年薪金：万美元,2024-25,"$16,875,000"
菲尼克斯太阳,奈杰尔-海耶斯,https://nba.hupu.com/players/nigelhayesdavis-150207.html,Nigel Hayes-Davis,21,F,2.03米/6尺8,115公斤/254磅,1994-12-16,本年薪金：万美元,2024-25,"$2,296,274"
菲尼克斯太阳,卡曼-马卢阿奇,https://nba.hupu.com/players/khamanmaluach-153291.html,Khaman Maluach,10,C,2.18米/7尺2,113公斤/250磅,2006-09-14,本年薪金：万美元,2024-25,"$6,016,080"
菲尼克斯太阳,狄龙-布鲁克斯,https://nba.hupu.com/players/dillonbrooks-150497.html,Dillon Brooks,3,G-F,2.01米/6尺7,102公斤/225磅,1996-01-22,本年薪金：万美元,2024-25,"$22,124,110"
菲尼克斯太阳,科比-布雷亚,https://nba.hupu.com/players/kobybrea-153324.html,Koby Brea,14,G,2.01米/6尺7,98公斤/215磅,2002-11-06,本年薪金：万美元,2024-25,--
菲尼克斯太阳,拉希尔・弗莱明,https://nba.hupu.com/players/rasheerfleming-153325.html,Rasheer Fleming,20,F,2.06米/6尺9,109公斤/240磅,2004-07-10,本年薪金：万美元,2024-25,"$1,272,870"
菲尼克斯太阳,科林-吉莱斯皮,https://nba.hupu.com/players/collingillespie-152820.html,Collin Gillespie,12,G,1.91米/6尺3,88公斤/195磅,1999-06-25,本年薪金：万美元,2024-25,"$2,296,274"
