球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
萨克拉门托国王,基恩-埃利斯,https://nba.hupu.com/players/keonellis-152832.html,Keon Ellis,23,G,1.98米/6尺6,79公斤/175磅,2000-01-08,本年薪金：万美元,2024-25,"$2,301,587"
萨克拉门托国王,迪伦-卡德韦尔,https://nba.hupu.com/players/dylancardwell-153344.html,Dylan Cardwell,32,C,2.11米/6尺11,116公斤/255磅,2001-12-16,本年薪金：万美元,2024-25,--
萨克拉门托国王,基根-穆雷,https://nba.hupu.com/players/keeganmurray-152851.html,Keegan Murray,13,F,2.03米/6尺8,102公斤/225磅,2000-08-19,本年薪金：万美元,2024-25,"$11,144,093"
萨克拉门托国王,德文·卡特,https://nba.hupu.com/players/devincarter-153122.html,Devin Carter,22,G,1.91米/6尺3,88公斤/195磅,2002-03-18,本年薪金：万美元,2024-25,"$4,923,720"
萨克拉门托国王,普雷舍斯-阿丘瓦,https://nba.hupu.com/players/preciousachiuwa-152364.html,Precious Achiuwa,9,F,2.06米/6尺9,102公斤/225磅,1999-09-19,本年薪金：万美元,2024-25,--
萨克拉门托国王,扎克-拉文,https://nba.hupu.com/players/zachlavine-4911.html,Zach LaVine,8,G,1.98米/6尺6,91公斤/200磅,1995-03-10,本年薪金：万美元,2024-25,"$47,499,660"
萨克拉门托国王,道格-麦克德莫特,https://nba.hupu.com/players/dougmcdermott-4927.html,Doug McDermott,7,F,2.01米/6尺7,102公斤/225磅,1992-01-03,本年薪金：万美元,2024-25,"$2,296,274"
萨克拉门托国王,戴奎翁-普劳登,https://nba.hupu.com/players/daeqwonplowden-152921.html,Daeqwon Plowden,29,G-F,1.98米/6尺6,98公斤/215磅,1998-08-29,本年薪金：万美元,2024-25,--
萨克拉门托国王,达里奥-沙里奇,https://nba.hupu.com/players/dariosaric-4959.html,Dario Šarić,20,F-C,2.08米/6尺10,102公斤/225磅,1994-04-08,本年薪金：万美元,2024-25,
萨克拉门托国王,德鲁-尤班克斯,https://nba.hupu.com/players/dreweubanks-151424.html,Drew Eubanks,19,F-C,2.06米/6尺9,111公斤/245磅,1997-02-01,本年薪金：万美元,2024-25,--
萨克拉门托国王,以赛亚-史蒂文斯,https://nba.hupu.com/players/isaiahstevens-153225.html,Isaiah Stevens,24,G,1.83米/6尺0,84公斤/185磅,2000-11-01,本年薪金：万美元,2024-25,--
萨克拉门托国王,多曼塔斯-萨博尼斯,https://nba.hupu.com/players/domantassabonis-150175.html,Domantas Sabonis,11,F-C,2.11米/6尺11,109公斤/240磅,1996-05-03,本年薪金：万美元,2024-25,"$43,636,000"
萨克拉门托国王,马利克-蒙克,https://nba.hupu.com/players/malikmonk-150437.html,Malik Monk,0,G,1.91米/6尺3,91公斤/200磅,1998-02-04,本年薪金：万美元,2024-25,"$18,797,618"
萨克拉门托国王,丹尼斯-施罗德,https://nba.hupu.com/players/dennisschroder-4776.html,Dennis Schröder,17,G,1.85米/6尺1,78公斤/172磅,1993-09-15,本年薪金：万美元,2024-25,
萨克拉门托国王,拉塞尔-威斯布鲁克,https://nba.hupu.com/players/russellwestbrook-3016.html,Russell Westbrook,18,G,1.91米/6尺3,91公斤/200磅,1988-11-12,本年薪金：万美元,2024-25,"$2,296,274"
萨克拉门托国王,尼克-克利福德,https://nba.hupu.com/players/niqueclifford-153293.html,Nique Clifford,5,G,1.98米/6尺6,91公斤/200磅,2002-02-09,本年薪金：万美元,2024-25,"$3,108,120"
萨克拉门托国王,马克西姆-雷诺,https://nba.hupu.com/players/maximeraynaud-153326.html,Maxime Raynaud,42,C,2.16米/7尺1,111公斤/245磅,2003-04-07,本年薪金：万美元,2024-25,"$1,272,870"
萨克拉门托国王,德马尔-德罗赞,https://nba.hupu.com/players/demarderozan-3314.html,DeMar DeRozan,10,G-F,1.98米/6尺6,100公斤/220磅,1989-08-07,本年薪金：万美元,2024-25,"$24,570,000"
