球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
费城76人,贾里德·麦凯恩,https://nba.hupu.com/players/jaredmccain-153119.html,Jared McCain,20,G,1.91米/6尺3,89公斤/197磅,2004-02-20,本年薪金：万美元,2024-25,"$4,221,360"
费城76人,凯利-乌布雷,https://nba.hupu.com/players/kellyoubre-150057.html,Kelly Oubre,9,F-G,2.01米/6尺7,92公斤/203磅,1995-12-09,本年薪金：万美元,2024-25,
费城76人,贾巴里-沃克,https://nba.hupu.com/players/jabariwalker-152874.html,Jabari Walker,33,F,2.03米/6尺8,91公斤/200磅,2002-07-30,本年薪金：万美元,2024-25,--
费城76人,泰雷斯-马克西,https://nba.hupu.com/players/tyresemaxey-152368.html,Tyrese Maxey,0,G,1.91米/6尺3,91公斤/200磅,2000-11-04,本年薪金：万美元,2024-25,"$37,958,760"
费城76人,昆廷-格兰姆斯,https://nba.hupu.com/players/quentingrimes-152631.html,Quentin Grimes,5,G,1.93米/6尺4,95公斤/210磅,2000-05-08,本年薪金：万美元,2024-25,"$8,741,209"
费城76人,安德烈-德拉蒙德,https://nba.hupu.com/players/andredrummond-3646.html,Andre Drummond,1,C,2.08米/6尺10,127公斤/279磅,1993-08-10,本年薪金：万美元,2024-25,"$5,000,000"
费城76人,多米尼克-巴洛,https://nba.hupu.com/players/dominickbarlow-152894.html,Dominick Barlow,25,F,2.08米/6尺10,100公斤/220磅,2003-05-26,本年薪金：万美元,2024-25,"$2,270,735"
费城76人,特伦登-沃特福特,https://nba.hupu.com/players/trendonwatford-152639.html,Trendon Watford,12,G-F,2.06米/6尺9,109公斤/240磅,2000-11-09,本年薪金：万美元,2024-25,"$2,461,463"
费城76人,阿德姆·博纳,https://nba.hupu.com/players/adembona-153158.html,Adem Bona,30,F,2.08米/6尺10,111公斤/245磅,2003-03-28,本年薪金：万美元,2024-25,"$1,955,377"
费城76人,贾斯汀·爱德华兹,https://nba.hupu.com/players/justinedwards-153173.html,Justin Edwards,11,F,2.03米/6尺8,92公斤/203磅,2003-12-16,本年薪金：万美元,2024-25,"$2,048,494"
费城76人,乔尔-恩比德,https://nba.hupu.com/players/joelembiid-4958.html,Joel Embiid,21,C-F,2.13米/7尺0,127公斤/280磅,1994-03-16,本年薪金：万美元,2024-25,"$55,224,526"
费城76人,保罗-乔治,https://nba.hupu.com/players/paulgeorge-3458.html,Paul George,8,F,2.03米/6尺8,100公斤/220磅,1990-05-02,本年薪金：万美元,2024-25,"$51,666,090"
费城76人,埃里克-戈登,https://nba.hupu.com/players/ericgordon-3015.html,Eric Gordon,23,G,1.91米/6尺3,98公斤/215磅,1988-12-25,本年薪金：万美元,2024-25,"$3,468,960"
费城76人,VJ-埃奇库姆,https://nba.hupu.com/players/vjedgecombe-153290.html,VJ Edgecombe,77,G,1.96米/6尺5,82公斤/180磅,2005-07-30,本年薪金：万美元,2024-25,"$11,108,880"
费城76人,凯尔-洛瑞,https://nba.hupu.com/players/kylelowry-1244.html,Kyle Lowry,7,G,1.83米/6尺0,89公斤/196磅,1986-03-25,本年薪金：万美元,2024-25,"$2,296,274"
费城76人,约翰尼-布鲁姆,https://nba.hupu.com/players/johnibroome-153323.html,Johni Broome,22,F,2.08米/6尺10,109公斤/240磅,2002-07-19,本年薪金：万美元,2024-25,"$1,272,870"
费城76人,亨特-萨利斯,https://nba.hupu.com/players/huntersallis-153333.html,Hunter Sallis,45,G,1.96米/6尺5,84公斤/185磅,2003-03-26,本年薪金：万美元,2024-25,--
