球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季,薪资
金州勇士,摩西-穆迪,https://nba.hupu.com/players/mosesmoody-152598.html,Moses Moody,4,G,1.96米/6尺5,96公斤/211磅,2002-05-31,本年薪金：万美元,2024-25,"$11,574,074"
金州勇士,乔纳森-库明加,https://nba.hupu.com/players/jonathankuminga-152599.html,Jonathan Kuminga,1,F,2.01米/6尺7,102公斤/225磅,2002-10-06,本年薪金：万美元,2024-25,"$22,500,000"
金州勇士,LJ-克赖尔,https://nba.hupu.com/players/ljcryer-153375.html,LJ Cryer,18,G,1.85米/6尺1,91公斤/200磅,2001-10-09,本年薪金：万美元,2024-25,--
金州勇士,昆腾·波斯特,https://nba.hupu.com/players/quintenpost-153147.html,Quinten Post,21,C,2.13米/7尺0,107公斤/235磅,2000-03-21,本年薪金：万美元,2024-25,"$1,935,377"
金州勇士,桂-桑托斯,https://nba.hupu.com/players/guisantos-152892.html,Gui Santos,15,F,2.03米/6尺8,95公斤/209磅,2002-06-22,本年薪金：万美元,2024-25,"$2,221,677"
金州勇士,帕特-斯潘塞,https://nba.hupu.com/players/patspencer-152912.html,Pat Spencer,61,G,1.91米/6尺3,93公斤/205磅,1996-07-04,本年薪金：万美元,2024-25,--
金州勇士,德雷蒙德-格林,https://nba.hupu.com/players/draymondgreen-3672.html,Draymond Green,23,F,1.98米/6尺6,104公斤/230磅,1990-03-04,本年薪金：万美元,2024-25,"$25,892,857"
金州勇士,加里-佩顿二世,https://nba.hupu.com/players/garypayton-150400.html,Gary Payton,0,G,1.91米/6尺3,86公斤/190磅,1992-12-01,本年薪金：万美元,2024-25,
金州勇士,布兰丁·波杰姆斯基,https://nba.hupu.com/players/brandinpodziemski-152973.html,Brandin Podziemski,2,G,1.96米/6尺5,93公斤/205磅,2003-02-25,本年薪金：万美元,2024-25,"$3,687,960"
金州勇士,巴迪-希尔德,https://nba.hupu.com/players/buddyhield-150169.html,Buddy Hield,7,G,1.93米/6尺4,100公斤/220磅,1992-12-17,本年薪金：万美元,2024-25,"$9,219,512"
金州勇士,马莱维-莱昂斯,https://nba.hupu.com/players/malevyleons-153250.html,Malevy Leons,33,F,2.06米/6尺9,95公斤/210磅,1999-09-23,本年薪金：万美元,2024-25,--
金州勇士,特雷斯·杰克逊-戴维斯,https://nba.hupu.com/players/traycejacksondavis-153019.html,Trayce Jackson-Davis,32,F,2.06米/6尺9,111公斤/245磅,2000-02-22,本年薪金：万美元,2024-25,"$2,221,677"
金州勇士,塞思-库里,https://nba.hupu.com/players/sethcurry-4798.html,Seth Curry,31,G,1.88米/6尺2,84公斤/185磅,1990-08-23,本年薪金：万美元,2024-25,--
金州勇士,丹东尼-梅尔顿,https://nba.hupu.com/players/deanthonymelton-150985.html,De'Anthony Melton,8,G,1.88米/6尺2,91公斤/200磅,1998-05-28,本年薪金：万美元,2024-25,"$3,080,921"
金州勇士,艾尔-霍福德,https://nba.hupu.com/players/alhorford-1239.html,Al Horford,20,C-F,2.06米/6尺9,109公斤/240磅,1986-06-03,本年薪金：万美元,2024-25,"$5,685,000"
金州勇士,威尔-理查德,https://nba.hupu.com/players/willrichard-153313.html,Will Richard,3,G,1.93米/6尺4,93公斤/206磅,2002-12-24,本年薪金：万美元,2024-25,"$1,272,870"
金州勇士,斯蒂芬-库里,https://nba.hupu.com/players/stephencurry-3311.html,Stephen Curry,30,G,1.91米/6尺3,84公斤/185磅,1988-03-14,本年薪金：万美元,2024-25,"$59,606,817"
金州勇士,吉米-巴特勒,https://nba.hupu.com/players/jimmybutler-3583.html,Jimmy Butler,10,F,2.01米/6尺7,104公斤/230磅,1989-09-14,本年薪金：万美元,2024-25,
