球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
洛杉矶湖人,克里斯-马尼翁,https://nba.hupu.com/players/chrismanon-153349.html,Chris Mañon,30,G,1.96米/6尺5,98公斤/215磅,2001-12-09,本年薪金：万美元,2024-25
洛杉矶湖人,道尔顿·克内克特,https://nba.hupu.com/players/daltonknecht-153114.html,Dalton Knecht,4,F,1.98米/6尺6,97公斤/213磅,2001-04-19,本年薪金：万美元,2024-25
洛杉矶湖人,杰克-拉拉维亚,https://nba.hupu.com/players/jakelaravia-152860.html,Jake LaRavia,12,F,2.03米/6尺8,107公斤/235磅,2001-11-03,本年薪金：万美元,2024-25
洛杉矶湖人,奥斯汀-里夫斯,https://nba.hupu.com/players/austinreaves-152614.html,Austin Reaves,15,G,1.96米/6尺5,93公斤/206磅,1998-05-29,本年薪金：万美元,2024-25
洛杉矶湖人,马库斯-斯马特,https://nba.hupu.com/players/marcussmart-4925.html,Marcus Smart,36,G,1.91米/6尺3,100公斤/220磅,1994-03-06,本年薪金：万美元,2024-25
洛杉矶湖人,布朗尼·詹姆斯,https://nba.hupu.com/players/bronnyjames-153152.html,Bronny James,9,G,1.93米/6尺4,95公斤/210磅,2004-10-06,本年薪金：万美元,2024-25
洛杉矶湖人,盖布-文森特,https://nba.hupu.com/players/gabevincent-151627.html,Gabe Vincent,7,G,1.91米/6尺3,91公斤/200磅,1996-06-14,本年薪金：万美元,2024-25
洛杉矶湖人,卢卡-东契奇,https://nba.hupu.com/players/lukadoncic-150648.html,Luka Dončić,77,F-G,2.01米/6尺7,104公斤/230磅,1999-02-28,本年薪金：万美元,2024-25
洛杉矶湖人,小尼克·史密斯,https://nba.hupu.com/players/nicksmith-152965.html,Nick Smith,20,G,1.96米/6尺5,84公斤/185磅,2004-04-18,本年薪金：万美元,2024-25
洛杉矶湖人,八村垒,https://nba.hupu.com/players/ruihachimura-151687.html,Rui Hachimura,28,F,2.03米/6尺8,104公斤/230磅,1998-02-08,本年薪金：万美元,2024-25
洛杉矶湖人,德安德烈-艾顿,https://nba.hupu.com/players/deandreayton-150920.html,Deandre Ayton,5,C,2.11米/6尺11,113公斤/250磅,1998-07-23,本年薪金：万美元,2024-25
洛杉矶湖人,勒布朗-詹姆斯,https://nba.hupu.com/players/lebronjames-650.html,LeBron James,23,F,2.06米/6尺9,113公斤/250磅,1984-12-30,本年薪金：万美元,2024-25
洛杉矶湖人,贾克森-海斯,https://nba.hupu.com/players/jaxsonhayes-151702.html,Jaxson Hayes,11,C-F,2.11米/6尺11,100公斤/220磅,2000-05-23,本年薪金：万美元,2024-25
洛杉矶湖人,马克西-克勒贝尔,https://nba.hupu.com/players/maxikleber-150704.html,Maxi Kleber,14,F,2.08米/6尺10,109公斤/240磅,1992-01-29,本年薪金：万美元,2024-25
洛杉矶湖人,德鲁·蒂米,https://nba.hupu.com/players/drewtimme-153039.html,Drew Timme,26,F,2.08米/6尺10,107公斤/235磅,2000-09-09,本年薪金：万美元,2024-25
洛杉矶湖人,贾里德-范德比尔特,https://nba.hupu.com/players/jarredvanderbilt-150993.html,Jarred Vanderbilt,2,F,2.06米/6尺9,97公斤/214磅,1999-04-03,本年薪金：万美元,2024-25
洛杉矶湖人,阿杜-蒂耶罗,https://nba.hupu.com/players/adouthiero-153318.html,Adou Thiero,1,G,2.03米/6尺8,100公斤/220磅,2004-05-08,本年薪金：万美元,2024-25
