球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
犹他爵士,沃克-凯斯勒,https://nba.hupu.com/players/walkerkessler-152848.html,Walker Kessler,24,C,2.16米/7尺1,111公斤/245磅,2001-07-26,本年薪金：万美元,2024-25
犹他爵士,以赛亚·科利尔,https://nba.hupu.com/players/isaiahcollier-153125.html,Isaiah Collier,8,G,1.96米/6尺5,95公斤/210磅,2004-10-08,本年薪金：万美元,2024-25
犹他爵士,科迪·威廉姆斯,https://nba.hupu.com/players/codywilliams-153126.html,Cody Williams,5,F,2.03米/6尺8,86公斤/190磅,2004-11-20,本年薪金：万美元,2024-25
犹他爵士,凯尔-安德森,https://nba.hupu.com/players/kyleanderson-4917.html,Kyle Anderson,2,F-G,2.06米/6尺9,104公斤/230磅,1993-09-20,本年薪金：万美元,2024-25
犹他爵士,凯尔·菲利波夫斯基,https://nba.hupu.com/players/kylefilipowski-153163.html,Kyle Filipowski,22,C,2.13米/7尺0,112公斤/248磅,2003-11-07,本年薪金：万美元,2024-25
犹他爵士,优素福-努尔基奇,https://nba.hupu.com/players/jusufnurkic-4941.html,Jusuf Nurkić,30,C,2.13米/7尺0,132公斤/290磅,1994-08-23,本年薪金：万美元,2024-25
犹他爵士,基扬特·乔治,https://nba.hupu.com/players/keyontegeorge-152989.html,Keyonte George,3,G,1.93米/6尺4,84公斤/185磅,2003-11-08,本年薪金：万美元,2024-25
犹他爵士,布赖斯·森萨博,https://nba.hupu.com/players/bricesensabaugh-152990.html,Brice Sensabaugh,28,F,1.98米/6尺6,107公斤/235磅,2003-10-30,本年薪金：万美元,2024-25
犹他爵士,泰勒·亨德里克斯,https://nba.hupu.com/players/taylorhendricks-152991.html,Taylor Hendricks,0,F,2.06米/6尺9,95公斤/210磅,2003-11-22,本年薪金：万美元,2024-25
犹他爵士,劳里-马尔卡宁,https://nba.hupu.com/players/laurimarkkanen-150439.html,Lauri Markkanen,23,F-C,2.13米/7尺0,109公斤/240磅,1997-05-22,本年薪金：万美元,2024-25
犹他爵士,伊莱贾-哈克利斯,https://nba.hupu.com/players/elijahharkless-153263.html,Elijah Harkless,16,G,1.91米/6尺3,88公斤/195磅,2000-02-03,本年薪金：万美元,2024-25
犹他爵士,凯文-乐福,https://nba.hupu.com/players/kevinlove-3004.html,Kevin Love,42,F-C,2.03米/6尺8,114公斤/251磅,1988-09-07,本年薪金：万美元,2024-25
犹他爵士,斯维亚托斯拉夫-米哈伊柳克,https://nba.hupu.com/players/svimykhailiuk-150208.html,Svi Mykhailiuk,10,G-F,2.01米/6尺7,93公斤/205磅,1997-06-10,本年薪金：万美元,2024-25
犹他爵士,奥斯卡·希布韦,https://nba.hupu.com/players/oscartshiebwe-153034.html,Oscar Tshiebwe,34,F-C,2.06米/6尺9,118公斤/260磅,1999-11-27,本年薪金：万美元,2024-25
犹他爵士,乔治-尼昂,https://nba.hupu.com/players/georgesniang-150220.html,Georges Niang,31,F,2.01米/6尺7,104公斤/230磅,1993-06-17,本年薪金：万美元,2024-25
犹他爵士,沃尔特-克莱顿,https://nba.hupu.com/players/walterclayton-153297.html,Walter Clayton,13,G,1.91米/6尺3,88公斤/195磅,2003-03-06,本年薪金：万美元,2024-25
犹他爵士,埃斯-贝利,https://nba.hupu.com/players/acebailey-153298.html,Ace Bailey,19,F,2.08米/6尺10,95公斤/210磅,2006-08-13,本年薪金：万美元,2024-25
犹他爵士,约翰-汤杰,https://nba.hupu.com/players/johntonje-153328.html,John Tonje,17,G,1.96米/6尺5,99公斤/218磅,2001-04-23,本年薪金：万美元,2024-25
