球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
达拉斯独行侠,瑞安-内姆布哈德,https://nba.hupu.com/players/ryannembhard-153345.html,Ryan Nembhard,9,G,1.83米/6尺0,82公斤/180磅,2003-03-10,本年薪金：万美元,2024-25
达拉斯独行侠,穆萨-西塞,https://nba.hupu.com/players/moussacisse-153355.html,Moussa Cisse,30,C,2.11米/6尺11,104公斤/229磅,2002-09-10,本年薪金：万美元,2024-25
达拉斯独行侠,丹吉洛-拉塞尔,https://nba.hupu.com/players/dangelorussell-150029.html,D'Angelo Russell,5,G,1.93米/6尺4,88公斤/193磅,1996-02-23,本年薪金：万美元,2024-25
达拉斯独行侠,马克斯-克里斯蒂,https://nba.hupu.com/players/maxchristie-152870.html,Max Christie,00,G,1.98米/6尺6,86公斤/190磅,2003-02-10,本年薪金：万美元,2024-25
达拉斯独行侠,杰登-哈迪,https://nba.hupu.com/players/jadenhardy-152884.html,Jaden Hardy,1,G,1.93米/6尺4,90公斤/198磅,2002-07-05,本年薪金：万美元,2024-25
达拉斯独行侠,安东尼-戴维斯,https://nba.hupu.com/players/anthonydavis-3638.html,Anthony Davis,3,F-C,2.08米/6尺10,115公斤/253磅,1993-03-11,本年薪金：万美元,2024-25
达拉斯独行侠,丹特-埃克萨姆,https://nba.hupu.com/players/danteexum-4938.html,Danté Exum,0,G,1.96米/6尺5,97公斤/214磅,1995-07-13,本年薪金：万美元,2024-25
达拉斯独行侠,纳吉-马绍尔,https://nba.hupu.com/players/najimarshall-152402.html,Naji Marshall,13,F,2.01米/6尺7,100公斤/220磅,1998-01-24,本年薪金：万美元,2024-25
达拉斯独行侠,德怀特-鲍威尔,https://nba.hupu.com/players/dwightpowell-4967.html,Dwight Powell,7,F-C,2.08米/6尺10,109公斤/240磅,1991-07-20,本年薪金：万美元,2024-25
达拉斯独行侠,德雷克·莱夫利二世,https://nba.hupu.com/players/derecklively-152968.html,Dereck Lively,2,C,2.16米/7尺1,104公斤/230磅,2004-02-12,本年薪金：万美元,2024-25
达拉斯独行侠,布兰登-威廉姆斯,https://nba.hupu.com/players/brandonwilliams-152720.html,Brandon Williams,10,G,1.88米/6尺2,86公斤/190磅,1999-11-22,本年薪金：万美元,2024-25
达拉斯独行侠,PJ-华盛顿,https://nba.hupu.com/players/pjwashington-151712.html,P.J. Washington,25,F,2.01米/6尺7,104公斤/230磅,1998-08-23,本年薪金：万美元,2024-25
达拉斯独行侠,凯莱布-马丁,https://nba.hupu.com/players/calebmartin-150948.html,Caleb Martin,16,F,1.96米/6尺5,93公斤/205磅,1995-09-28,本年薪金：万美元,2024-25
达拉斯独行侠,丹尼尔-加福德,https://nba.hupu.com/players/danielgafford-151732.html,Daniel Gafford,21,F-C,2.08米/6尺10,106公斤/234磅,1998-10-01,本年薪金：万美元,2024-25
达拉斯独行侠,库珀-弗拉格,https://nba.hupu.com/players/cooperflagg-153280.html,Cooper Flagg,32,F,2.06米/6尺9,93公斤/205磅,2006-12-21,本年薪金：万美元,2024-25
达拉斯独行侠,凯里-欧文,https://nba.hupu.com/players/kyrieirving-3554.html,Kyrie Irving,11,G,1.88米/6尺2,88公斤/195磅,1992-03-23,本年薪金：万美元,2024-25
达拉斯独行侠,克莱-汤普森,https://nba.hupu.com/players/klaythompson-3564.html,Klay Thompson,31,G,1.98米/6尺6,98公斤/215磅,1990-02-08,本年薪金：万美元,2024-25
达拉斯独行侠,迈尔斯-凯利,https://nba.hupu.com/players/mileskelly-153334.html,Miles Kelly,14,G,1.98米/6尺6,86公斤/190磅,2003-01-26,本年薪金：万美元,2024-25
