球队,球员,球员链接,英文名,号码,位置,身高,体重,生日,合同,赛季
迈阿密热火,迈伦-加德纳,https://nba.hupu.com/players/myrongardner-153350.html,Myron Gardner,15,F,1.98米/6尺6,100公斤/220磅,2001-05-21,本年薪金：万美元,2024-25
迈阿密热火,凯莱尔·韦尔,https://nba.hupu.com/players/kelelware-153115.html,Kel'el Ware,7,C,2.13米/7尺0,110公斤/242磅,2004-04-20,本年薪金：万美元,2024-25
迈阿密热火,诺曼-鲍威尔,https://nba.hupu.com/players/normanpowell-150062.html,Norman Powell,24,G,1.91米/6尺3,98公斤/215磅,1993-05-25,本年薪金：万美元,2024-25
迈阿密热火,尼科拉-约维奇,https://nba.hupu.com/players/nikolajovic-152882.html,Nikola Jović,5,F,2.08米/6尺10,95公斤/209磅,2003-06-09,本年薪金：万美元,2024-25
迈阿密热火,戴维恩-米切尔,https://nba.hupu.com/players/davionmitchell-152640.html,Davion Mitchell,45,G,1.83米/6尺0,92公斤/202磅,1998-09-05,本年薪金：万美元,2024-25
迈阿密热火,尼科拉·久里西奇,https://nba.hupu.com/players/pellelarsson-153153.html,Pelle Larsson,9,G,1.98米/6尺6,98公斤/215磅,2001-02-23,本年薪金：万美元,2024-25
迈阿密热火,西莫内-丰泰基奥,https://nba.hupu.com/players/simonefontecchio-152901.html,Simone Fontecchio,0,F,2.03米/6尺8,95公斤/209磅,1995-12-09,本年薪金：万美元,2024-25
迈阿密热火,凯沙德·约翰逊,https://nba.hupu.com/players/keshadjohnson-153172.html,Keshad Johnson,16,F,2.01米/6尺7,102公斤/225磅,2001-06-23,本年薪金：万美元,2024-25
迈阿密热火,安德鲁-威金斯,https://nba.hupu.com/players/andrewwiggins-4956.html,Andrew Wiggins,22,F,2.01米/6尺7,89公斤/197磅,1995-02-23,本年薪金：万美元,2024-25
迈阿密热火,德鲁-史密斯,https://nba.hupu.com/players/drusmith-152679.html,Dru Smith,12,G,1.91米/6尺3,92公斤/203磅,1997-12-30,本年薪金：万美元,2024-25
迈阿密热火,小海梅-哈克斯,https://nba.hupu.com/players/jaimejaquez-152980.html,Jaime Jaquez,11,G,2.01米/6尺7,102公斤/225磅,2001-02-18,本年薪金：万美元,2024-25
迈阿密热火,贾米尔-杨,https://nba.hupu.com/players/jahmiryoung-153241.html,Jahmir Young,17,G,1.85米/6尺1,84公斤/185磅,2000-10-07,本年薪金：万美元,2024-25
迈阿密热火,泰勒-希罗,https://nba.hupu.com/players/tylerherro-151713.html,Tyler Herro,14,G,1.96米/6尺5,88公斤/195磅,2000-01-20,本年薪金：万美元,2024-25
迈阿密热火,卡斯帕拉斯-亚库契奥尼斯,https://nba.hupu.com/players/kasparasjakucionis-153282.html,Kasparas Jakučionis,25,G,1.98米/6尺6,93公斤/205磅,2006-05-29,本年薪金：万美元,2024-25
迈阿密热火,巴姆-阿德巴约,https://nba.hupu.com/players/bamadebayo-150509.html,Bam Adebayo,13,C-F,2.06米/6尺9,116公斤/255磅,1997-07-18,本年薪金：万美元,2024-25
迈阿密热火,特里-罗齐尔,https://nba.hupu.com/players/terryrozier-150005.html,Terry Rozier,2,G,1.85米/6尺1,86公斤/190磅,1994-03-17,本年薪金：万美元,2024-25
迈阿密热火,弗拉季斯拉夫-戈尔金,https://nba.hupu.com/players/vladislavgoldin-153339.html,Vladislav Goldin,50,C,2.16米/7尺1,113公斤/250磅,2001-05-12,本年薪金：万美元,2024-25
