排名,球队链接,球队,投篮,三分,罚球,篮板,助攻,失误,抢断,盖帽,犯规,得分,赛季
,javascript:void(0);,投篮,,,,,,,,,,,2024-25
,,球队,,,,,,,,,,,2024-25
1,https://nba.hupu.com/teams/nuggets,掘金,,45.4,87.9,,13.5,34.0,,21.1,25.8,44.8,2024-25
2,https://nba.hupu.com/teams/thunder,雷霆,,44.4,88.7,,14.2,37.2,,20.6,24.7,44.6,2024-25
3,https://nba.hupu.com/teams/heat,热火,,44.4,92.7,,12.9,34.9,,20.1,25.6,45.4,2024-25
4,https://nba.hupu.com/teams/rockets,火箭,,44.0,90.6,,11.8,29.8,,20.7,26.1,48.9,2024-25
5,https://nba.hupu.com/teams/knicks,尼克斯,,43.2,90.8,,15.4,40.8,,18.7,23.5,46.1,2024-25
6,https://nba.hupu.com/teams/spurs,马刺,,42.8,88.0,,13.6,36.8,,20.9,26.2,44.8,2024-25
7,https://nba.hupu.com/teams/timberwolves,森林狼,,42.6,87.2,,14.2,37.2,,20.6,26.6,43.4,2024-25
8,https://nba.hupu.com/teams/pistons,活塞,,43.4,89.2,,11.2,31.6,,21.7,28.9,46.5,2024-25
9,https://nba.hupu.com/teams/cavaliers,骑士,,42.3,92.4,,15.1,44.3,,19.3,25.0,44.9,2024-25
10,https://nba.hupu.com/teams/lakers,湖人,,42.0,82.8,,12.0,33.3,,22.4,28.1,41.1,2024-25
11,https://nba.hupu.com/teams/jazz,爵士,,41.2,90.6,,13.6,39.6,,22.0,27.2,45.6,2024-25
12,https://nba.hupu.com/teams/hawks,老鹰,,43.3,89.4,,13.8,37.7,,17.5,22.3,41.6,2024-25
13,https://nba.hupu.com/teams/magic,魔术,,41.6,88.2,,11.4,32.9,,23.3,29.2,45.1,2024-25
14,https://nba.hupu.com/teams/bulls,公牛,,42.5,90.5,,13.8,37.7,,18.9,23.9,45.4,2024-25
15,https://nba.hupu.com/teams/blazers,开拓者,,40.6,92.0,,13.8,42.0,,22.4,28.2,45.6,2024-25
16,https://nba.hupu.com/teams/76ers,76人,,41.3,90.7,,13.4,37.2,,20.8,25.7,45.2,2024-25
17,https://nba.hupu.com/teams/celtics,凯尔特人,,43.0,91.4,,15.9,43.5,,14.8,18.8,43.6,2024-25
18,https://nba.hupu.com/teams/raptors,猛龙,,43.0,88.8,,11.5,31.9,,18.2,23.8,42.4,2024-25
19,https://nba.hupu.com/teams/bucks,雄鹿,,42.5,85.9,,15.4,37.5,,14.8,20.7,39.5,2024-25
20,https://nba.hupu.com/teams/suns,太阳,,41.8,90.0,,14.4,39.3,,16.8,21.2,42.3,2024-25
21,https://nba.hupu.com/teams/hornets,黄蜂,,40.5,88.8,,13.9,40.2,,19.8,24.1,44.1,2024-25
22,https://nba.hupu.com/teams/pelicans,鹈鹕,,41.8,90.7,,11.1,31.8,,19.6,25.0,42.5,2024-25
23,https://nba.hupu.com/teams/grizzlies,灰熊,,40.7,90.6,,13.0,38.1,,19.6,24.5,46.6,2024-25
24,https://nba.hupu.com/teams/warriors,勇士,,39.5,88.0,,15.9,43.8,,18.8,23.0,43.4,2024-25
25,https://nba.hupu.com/teams/wizards,奇才,,41.4,89.5,,13.4,36.3,,16.7,22.2,42.7,2024-25
26,https://nba.hupu.com/teams/mavericks,独行侠,,40.6,88.4,,11.7,34.2,,19.2,25.4,43.8,2024-25
27,https://nba.hupu.com/teams/clippers,快船,,39.6,84.2,,12.6,35.6,,20.0,23.9,40.7,2024-25
28,https://nba.hupu.com/teams/kings,国王,,41.6,89.6,,10.9,31.0,,17.0,22.7,40.0,2024-25
29,https://nba.hupu.com/teams/pacers,步行者,,39.1,90.4,,12.1,36.5,,20.6,26.6,44.0,2024-25
30,https://nba.hupu.com/teams/nets,篮网,,37.9,85.0,,14.2,41.1,,19.6,25.1,39.9,2024-25
